Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Naseri Eteuini,OT,El Dorado,KS,6'4'',305,,,,,,2007,Houston,NR,,,,,,,,,,,,,,,
A. J. Edwards,CB,Brenham,TX,6'1'',180,Brenham High School,,96,,,2007,Houston,NR,,,,,,,,,,,,,,,
Justin Daniels,WR,Brenham,TX,6'1'',190,,,,,,2007,Houston,74, None, None,,,,,,,,,,,,,
Tyrone Carrier,CB,Houston,TX,5'8'',170,Wortham High School,,,,,2007,Houston,69, None, None,,,,,,,,,,,,,
Rodney Brisbon,OT,Wetumpka,AL,6'6'',330,,,,,,2007,Houston,NR, None, None,,,,,,,,,,,,,
Ricardo Bates,S,Prattville,AL,5'11'',165,Prattville High School,,,,,2007,Houston,70, None, None,,,,,,,,,,,,,
Corey Bailey,OT,Brandon,MS,6'5'',265,Northwest Rankin High School,,,,,2007,Houston,74,,,,,,,,,,,,,,,
Broderick Thomas Jr.,ATH,Houston,TX,6'3'',185,Houston  ,,59,77,NR,2009,Houston,78.0,,,,,,,,,,,,,,,
Tyler Chambers,TE,Houston,TX,6'4'',220,Houston  ,,24,,,2009,Houston,78.0,,,,,,,,,,,,,,,
Thomas Bates,S,Baytown,TX,5'11'',180,Houston  ,,57,114,,2009,Houston,77.0,,,,,,,,,,,,,,,
Ty Cloud,OG,Flower Mound,TX,6'3'',295,Houston  ,,85,,,2009,Houston,76.0,,,,,,,,,,,,,,,
Kevin Forsch,OT,Klein,TX,6'5'',295,Houston  ,,74,,,2009,Houston,75.0,,,,,,,,,,,,,,,
A.J. Dugat,ATH,Dayton,TX,6'0'',190,Houston  ,,113,231,,2009,Houston,75.0,,,,,,,,,,,,,,,
Charles Sims,RB,Houston,TX,6'1'',180,Houston  ,,114,251,NR,2009,Houston,75.0,,,,,,,,,,,,,,,
Keenan Flax,OT,Houston,TX,6'4'',265,Houston  ,,121,309,NR,2009,Houston,74.0,,,,,,,,,,,,,,,
Tyrone Campbell,DT,Channelview,TX,6'2'',265,Houston  ,,96,341,NR,2009,Houston,73.0,,,,,,,,,,,,,,,
Drew Hollingshead,QB,Heath,TX,6'3'',190,Houston  ,,116,,,2009,Houston,72.0,,,,,,,,,,,,,,,
Radermon Scypion,DE,Port Arthur,TX,6'4'',215,Houston  ,,72,,,2009,Houston,72.0,,,,,,,,,,,,,,,
DeAnthony Sims,DT,Houston,TX,6'3'',300,Houston  ,,113,,,2009,Houston,71.0,,,,,,,,,,,,,,,
