Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Terry Mark,WR (LQ),Lufkin,TX,"6'1""",185,74.0,Houston,134,,,2016,Houston,,,,,,,,,,,,,,,,
Aymiel Fleming,DT,La Marque,TX,"6'2""",282,73.0,Houston,121,,,2016,Houston,,,,,,,,,,,,,,,,
Hasaun Glasgow,DE,Manvel,TX,"6'4""",226,73.0,Houston,128,,,2016,Houston,,299,229,,,,,,,,,,,,,
Patrick Rosette,S,Richmond,TX,"6'0""",187,71.0,Houston,116,,,2016,Houston,,301,231,,,,,,,,,,,,,
Javian Smith,CB,Richmond,TX,"6'1""",162,68.0,Houston,,,,2016,Houston,,,,,,,,,,,,,,,,
Ka'Darian Smith,CB,Spring,TX,"6'0""",175,68.0,Houston,,,,2016,Houston,,,,,,,,,,,,,,,,
Braylon Jones,DT,Tyler,TX,"6'3""",270,68.0,Houston,,,,2016,Houston,, None, None,,,,,,,,,,,,,
Alex Leslie,TE-Y,New Braunfels,TX,"6'5""",240,,Houston,,,,2016,Houston,,,,,,,,,,,,,,,,
Kyle Allen,QB-PP,Scottsdale,AZ,"6'3""",210,,Houston,,,,2016,Houston,,,,,,,,,,,,,,,,
Duke Catalon,RB,Austin,TX,"6'1""",205,,Houston,,,,2016,Houston,,,,,,,,,,,,,,,,
Bryan Jones,DE,Baton Rouge,LA,6'5'',237,82.0,Houston,15,79,7,2017,Houston,,,,,,,,,,,,,,,,
Joe Anderson,DT,Reserve,LA,6'5'',290,79.0,Houston,6,,,2017,Houston,,,,,,,,,,,,,,,,
Jeremy Singleton,WR,New Orleans,LA,6'0'',163,79.0,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Bryson Smith,QB-DT,Tyler,TX,6'0'',164,78.0,Houston,20,115,93,2017,Houston,,,,,,,,,,,,,,,,
Parker Eichenberger,TE-Y,Katy,TX,6'4'',222,78.0,Houston,20,121,97,2017,Houston,,,,,,,,,,,,,,,,
Dennis Bardwell,OG,Huffman,TX,6'6'',276,77.0,Houston,54,,,2017,Houston,,,,,,,,,,,,,,,,
Noah Jones,DE,Lancaster,TX,6'4'',260,75.0,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Amaud Willis-Dalton,OLB,Cypress,TX,6'0'',200,74.0,Houston,82,,,2017,Houston,,,,,,,,,,,,,,,,
Dalton Witherspoon,K,Miami,OK,5'9'',160,74.0,Houston,3,,,2017,Houston,,,,,,,,,,,,,,,,
Elijah Gooden,RB,Boling,TX,6'0'',200,73.0,Houston,177,232,,2017,Houston,,,,,,,,,,,,,,,,
Derek Parish,ILB,Pearland,TX,6'1'',256,72.0,Houston,52,,,2017,Houston,,,,,,,,,,,,,,,,
Alexander Duke,DE,Bellaire,TX,6'3'',230,71.0,Houston,124,,,2017,Houston,,,,,,,,,,,,,,,,
David Anenih,DE,Arlington,TX,6'2'',225,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Devodric Bynum,WR,Dallas,TX,5'11'',175,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Tre'Von Bradley,ATH,Cleburne,TX,5'11'',190,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Davion Ford,ATH,Rockdale,TX,5'11'',190,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Grant Stuard,S,Conroe,TX,6'0'',200,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
D.J. Small,CB,Dickinson,TX,5'9'',170,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Payton Turner,OT,Houston,TX,6'5'',240,,Houston,,,,2017,Houston,,,,,,,,,,,,,,,,
Taures Payne,DE,Hoover,AL,6'4'',265,79,Northwest Mississippi Comm. College,38,,,2019,Houston,,,,,,,,,,,,,,,,
Nelson Ceaser,DE,Missouri City,TX,6'3'',220,79,Ridge Point High School,69,,,2019,Houston,,,,,,,,,,,,,,,,
Damarion Williams,CB,Stockbridge,GA,5'11'',160,76,Highland Community College,11,,,2019,Houston,,,,,,,,,,,,,,,,
Terrance Edgeston,OLB,Falkner,MS,6'2'',210,76,Northeast Mississippi Comm. College,6,,,2019,Houston,,,,,,,,,,,,,,,,
Cam'ron Johnson,OT,Pearland,TX,6'4'',283,75,Shadow Creek High School,116,,,2019,Houston,,,,,,,,,,,,,,,,
Rodquice Chaney,OT,Houston,TX,6'5'',340,75,Alief Taylor High School,108,,,2019,Houston,,,,,,,,,,,,,,,,
Ke'Andre Street,WR,Tyler,TX,6'3'',195,75,John Tyler High School,20,,,2019,Houston,,,,,,,,,,,,,,,,
Ronald Nunnery,S,Houston,TX,6'1'',195,73,Westbury Christian High School,97,312,228,2019,Houston,,,,,,,,,,,,,,,,
Oliver Charles-Pierre,DT,Roswell,NM,6'2'',335,73,New Mexico Military Institute,148,,,2019,Houston,,,,,,,,,,,,,,,,
Chayse Todd,OG,Crosby,TX,6'1'',278,73,Crosby High School,116,774,59,2019,Houston,,,,,,,,,,,,,,,,
Patrick Paul,OT,Houston,TX,6'7'',310,72,Jersey Village High,24,,,2019,Houston,,,,,,,,,,,,,,,,
Terrell Brown,RB,Harvey,LA,5'11'',189,71,Helen Cox High School,NR,,,2019,Houston,,,,,,,,,,,,,,,,
Justin Harris,DE,Gonzales,LA,6'6'',255,71,Hutchinson Community College,,,,2019,Houston,,,,,,,,,,,,,,,,
Deondre Dansby,CB,Dallas,TX,5'10'',180,NR,South Oak Cliff High,,,,2019,Houston,,,,,,,,,,,,,,,,
Jamykal Neal,DT,Charlotte,NC,6'3'',315,NR,Hutchinson Community College,,,,2019,Houston,,,,,,,,,,,,,,,,
Atlias Bell,DT,Council Bluffs,IA,6'2'',280,NR,Iowa Western Community College,,,,2019,Houston,,,,,,,,,,,,,,,,
Jordan Moore,S,Yoakum,TX,5'11'',192,TR,Texas A&M University,,,,2019,Houston,,,,,,,,,,,,,,,,
Malik Robinson,OLB,Snellville,GA,6'0'',215,78.0,Houston,,,,2020,Houston,, None, None,,,,,,,,,,,,,
Jayce Rogers,CB,Valdosta,GA,5'8'',165,76.0,Houston,13,,,2020,Houston,, None, None,,,,,,,,,,,,,
Sofian Massoud,ATH,Katy,TX,6'0'',174,76.0,Houston,62,,,2020,Houston,,,,,,,,,,,,,,,,
Chidozie Nwankwo,DT,Richmond,TX,5'11'',290,76.0,Houston,65,,,2020,Houston,,,,,,,,,,,,,,,,
Khiyon Wafer,WR,Frisco,TX,6'1'',190,75.0,Houston,167,,,2020,Houston,,200,145,,,,,,,,,,,,,
Nathaniel Dell,WR,Daytona Beach,FL,5'10'',160,75.0,Houston,14,,,2020,Houston,, None, None,,,,,,,,,,,,,
Stacy Sneed,RB,Arlington,TX,5'11'',180,75.0,Houston,75.0,,,2020,Houston,, 220, 161,,,,,,,,,,,,,
Derek Bowman,OT,Magnolia,TX,6'5'',260,75.0,Houston,118,,,2020,Houston,,232,170,,,,,,,,,,,,,
Danthony Jones,OLB,Long Beach,CA,6'1'',235,74.0,Houston,12,,,2020,Houston,, NR, NR,,,,,,,,,,,,,
Sedrick Williams,DT,Houma,LA,6'2'',300,74.0,Houston,16,,,2020,Houston,,,,,,,,,,,,,,,,
Darius Edmonds,TE-H,Humble,TX,6'4'',205,74.0,Houston,30,,,2020,Houston,,267,195,,,,,,,,,,,,,
Dylan Robinson,WR,Humble,TX,6'2'',190,74.0,Houston,,,,2020,Houston,, None, None,,,,,,,,,,,,,
Laine Wilkins,K,Adelaide,AUS,6'2'',180,74.0,Houston,,,,2020,Houston,, None, None,,,,,,,,,,,,,
Ugonna Nnanna,OT,Arlington,TX,6'4'',265,73.0,Houston,146,,,2020,Houston,,305,226,,,,,,,,,,,,,
Theron Stroops,CB,Lancaster,TX,6'1'',175,72.0,Houston,168,,,2020,Houston,,363,273,,,,,,,,,,,,,
Trevonte Sylvester,DE,Breaux Bridge,LA,6'5'',230,71.0,Houston,225,,,2020,Houston,,970,87,,,,,,,,,,,,,
Mike Welch,QB-DT,Dickinson,TX,5'10'',170,70.0,Houston,47,,,2020,Houston,,418,311,,,,,,,,,,,,,
James Faminu,OT,London,England,6'6'',340,70.0,Houston,,,,2020,Houston,, None, None,,,,,,,,,,,,,
JoVanni Stewart,S,Katy,TX,5'8'',195,,Houston,,,,2020,Houston,,,,,,,,,,,,,,,,
Matthew Golden,,,,,,,,32,57,40,2022,Houston,,,,,,,,,WR,Houston,TX,6'0'',190,8.1,Houston,
Demetrius Hunter,,,,,,,,2,63,45,2022,Houston,,,,,,,,,OC,Orange,TX,6'2'',285,8.1,Houston,
Anthony Holmes,,,,,,,,47,115,89,2022,Houston,,,,,,,,,DT,Houston,TX,6'2'',265,7.9,Houston,
Moses Alexander,,,,,,,,11th, NR, NR,2022,Houston,,,,,,,,,CB,Kilgore,TX,6'3'',190,7.8,Houston,
C.J. Nelson,,,,,,,,115,,,2022,Houston,,,,,,,,,WR,North Richland Hills,TX,6'0'',165,7.8,Houston,
Quardale Patt,,,,,,,,,,,2022,Houston,,,,,,,,,DE,Stafford,TX,6'4'',240,7.7,Houston,
Logan Compton,,,,,,,,1,,,2022,Houston,,,,,,,,,TE-H,Tomball,TX,,6'4'',240.0,7.7,Houston
Zykeius Strong,,,,,,,,5,,,2022,Houston,,,,,,,,,DE,Birmingham,AL,6'6'',260,7.6,Houston,
Karson Jones,,,,,,,,,,,2022,Houston,,,,,,,,,OT,Wolfforth,TX,6'5'',290,7.6,Houston,
Willie McCoy,,,,,,,,2,,,2022,Houston,,,,,,,,,WR,Bellaire,TX,,6'0'',190.0,7.6,Houston
Tevin Shaw,,,,,,,,57,244,179,2022,Houston,,,,,,,,,OG,Manvel,TX,6'5'',285,7.5,Houston,
Dorian Friend,,,,,,,,115,251,185,2022,Houston,,,,,,,,,CB,Spring,TX,5'9'',165,7.5,Houston,
Treylin Payne,,,,,,,,110,,,2022,Houston,,,,,,,,, OLB,Converse,TX,6'1'',200,7.4,Houston,
Abdul-Lateef Audu,,,,,,,,,,,2022,Houston,,,,,,,,, CB,Van Nuys,CA,5'11'',185,7.4,Houston,
Trevor Helburg,,,,,,,,21,,,2022,Houston,,,,,,,,,K,Crosby,TX,6'0'',175,7.4,Houston,
Bryan Henry,,,,,,,,43,,,2022,Houston,,,,,,,,,TE-H,Belton,TX,6'3'',225,7.3,Houston,
Amipeleasi Langi,,,,,,,,11,,,2022,Houston,,,,,,,,, DT,Independence,KS,6'5'',335,7.3,Houston,
Nadame Tucker,,,,,,,,9,,,2022,Houston,,,,,,,,, DE,New York,NY,6'3'',235,7.3,Houston,
Brice Johnson,,,,,,,,,,,2022,Houston,,,,,,,,,WR,,Greenville,MS,6'0'',175.0,,Houston
Sam Brown,,,,,,,,,,,2022,Houston,,,,,,,,,WR,,Savannah,GA,6'2'',195.0,,Houston
Jamal Morris,,,,,,,,,,,2022,Houston,,,,,,,,,OLB,,Richmond,TX,6'2'',220.0,,Houston
Joseph Manjack,,,,,,,,,,,2022,Houston,,,,,,,,,WR,,Tomball,TX,6'3'',205.0,,Houston
Trimarcus Cheeks,,,,,,,,,,,2022,Houston,,,,,,,,,OLB,,Hamilton,AL,6'2'',220.0,,Houston
Mikal Harrison-Pilot,ATH,Temple,TX,6'0'',185,Temple High School,,11,,,2023,Houston,82,43,31,,,,,,,,,,,,,
Jonah Wilson,WR,Houston,TX,6'2'',195,Andy Dekaney High School,,38,,,2023,Houston,80,70,53,,,,,,,,,,,,,
Parker Jenkins,RB,Houston,TX,5'11'',190,Klein Forest High School,,31,,,2023,Houston,80,85,65,,,,,,,,,,,,,
Justin Benton,DE,Covington,GA,6'1'',270,Newton High School,,,,,2023,Houston,78, None, None,,,,,,,,,,,,,
Michael Patterson,CB,Missouri City,TX,5'10'',175,Thurgood Marshall High School,,68,,,2023,Houston,78,166,123,,,,,,,,,,,,,
Jalyn Stanford,ATH,Jenks,OK,5'11'',185,Jenks High School,,104,,,2023,Houston,76,,,,,,,,,,,,,,,
Caleb McMickle,QB-PP,Roswell,GA,6'2'',190,Fellowship Christian School,,46,,,2023,Houston,75,537,131,,,,,,,,,,,,,
Christopher Pearson,S,Orange Beach,AL,6'2'',195,Orange Beach High School,,114,,,2023,Houston,75,552,45,,,,,,,,,,,,,
Ja'Ryan Wallace,WR,Denton,TX,6'3'',185,Ray Braswell High School,,51,,,2023,Houston,75,,,,,,,,,,,,,,,
Ja'koby Banks,ATH,Missouri City,TX,5'10'',180,Thurgood Marshall High School,,,,,2023,Houston,75,127,148,,,,,,,,,,,,,
Latreveon McCutchin,ILB,Austin,TX,6'1'',210,LBJ High School,,158,,,2023,Houston,74,330,242,,,,,,,,,,,,,
Johnsley Barbas,S,Roswell,GA,5'11'',170,Centennial High School,,131,,,2023,Houston,74,,,,,,,,,,,,,,,
Jett Runion,DE,Aubrey,TX,6'4'',230,Aubrey High School,,109,,,2023,Houston,74,,,,,,,,,,,,,,,
Jamaal Shaw,S,Orange,TX,6'1'',185,West Orange-Stark High School,,,,,2023,Houston,74,,,,,,,,,,,,,,,
Re'Shaun Sanford,RB,Harker Heights,TX,5'8'',175,Harker Heights High School,,,,,2023,Houston,74,,,,,,,,,,,,,,,
Cayden Bowie,OG,Houston,TX,6'3'',290,Memorial High School,,,,,2023,Houston,73,,,,,,,,,,,,,,,
Juwon Gaston,S (JC),Montgomery,AL,5'11'',190,Northeast Mississippi Comm. College,,,,,2023,Houston,NR, None, None,,,,,,,,,,,,,
Donovan Smith,QB-PP (TR),Las Vegas,NV,6'5'',230,Texas Tech University,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
Brian George,CB (TR),South Bay,FL,6'2'',195,Texas A&M University,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
Adari Haulcy,S (TR),Missouri City,TX,5'11'',220,University of New Mexico,,,,,2023,Houston,TR, None, None,,,,,,,,,,,,,
Ish Harris,OLB (TR),Pilot Point,TX,6'3'',195,Texas A&M University,,,,,2023,Houston,TR, None, None,,,,,,,,,,,,,
Joshua Cobbs,WR (TR),San Antonio,TX,6'4'',204,University of Wyoming,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
Stephon Johnson,WR (TR),Lancaster,TX,6'2'',185,Oklahoma State University,,,,,2023,Houston,TR, None, None,,,,,,,,,,,,,
Isaiah Hamilton,CB (TR),Houston,TX,6'1'',167,Texas Southern University,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
David Ugwoegbu,DE (TR),Katy,TX,6'4'',250,University of Oklahoma,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
Mike O'Laughlin,TE-Y (TR),Oak Park,IL,6'5'',235,West Virginia University,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
Jalen Hunt,DT (TR),Belleville,MI,6'4'',320,Michigan State University,,,,,2023,Houston,TR,,,,,,,,,,,,,,,
J'Marion Burnette,RB,Andalusia,AL,6'1'',210,Houston,,31,,,2024,Houston,80,81,64,,,,,,,,,,,,,
Maurice Williams,S,Pearland,TX,6'1'',195,Houston,,60,,,2024,Houston,79,118,92,,,,,,,,,,,,,
Zion Taylor,DE,Pearland,TX,6'2'',245,Houston,,52,,,2024,Houston,78,283,32,,,,,,,,,,,,,
Ray'Quan Bell,OG,Houston,TX,Westfield High School,6'4'',78,Houston,72,,,2024,Houston,305,293,16,,,,,,,,,,,,,
Jayshon Ridgle,ATH,Athens,AL,6'0'',200,Houston,,82,,,2024,Houston,78,,,,,,,,,,,,,,,
Koby Young,WR,New Orleans,LA,6'0'',175,Houston,,56,,,2024,Houston,78,184,12,,,,,,,,,,,,,
Darius Washington,DE,Mansfield,TX,6'4'',235,Houston,,62,,,2024,Houston,77,,,,,,,,,,,,,,,
Derek Joiner,OG,Grandview,MO,Grandview High School,6'3'',77,Houston,40th,,,2024,Houston,285,,,,,,,,,,,,,,,
Ronnell McLain,OG,DeSoto,TX,DeSoto High School,6'4'',77,Houston,122,,,2024,Houston,310,,,,,,,,,,,,,,,
Xavier Stillman,DT,Wathena,KS,Hutchinson Community College,6'3'',76,Houston,102,,,2024,Houston,300,609,54,,,,,,,,,,,,,
Demarcus Johnson,DE,Missouri City,TX,6'5'',250,Houston,,36,,,2024,Houston,75,,,,,,,,,,,,,,,
D.J. Butler,RB,Mobile,AL,5'11'',185,Houston,,10,,,2024,Houston,75, None, None,,,,,,,,,,,,,
Traville Frederick Jr.,TE-Y,Jeanerette,LA,6'3'',230,Houston,,4,,,2024,Houston,75,,,,,,,,,,,,,,,
Hingano Hautau,OT,San Jose,CA,Foothill College,6'5'',74,Houston,57,,,2024,Houston,320,377,289,,,,,,,,,,,,,
Larry Crawford,OG,Milledgeville,GA,Georgia Military College,6'3'',73,Houston,,,,2024,Houston,260, None, None,,,,,,,,,,,,,
Kaleb Thomas,TE-H,Houston,TX,North Shore High School,6'3'',73,Houston,NR,,,2024,Houston,225, NR, NR,,,,,,,,,,,,,
Liam Dougherty,K,Melbourne,AUS,ProKick Australia,6'1'',NR,Houston,,,,2024,Houston,200,,,,,,,,,,,,,,,
Zavian Tibbs,OLB,Kilgore,TX,Kilgore College,6'2'',NR,Houston,,,,2024,Houston,225, None, None,,,,,,,,,,,,,
Maliq Carr,TE-Y,Belleville,MI,Michigan State University,6'6'',TR,Houston,,,,2024,Houston,260, None, None,,,,,,,,,,,,,
Keith Cooper Jr.,DT,Dickinson,TX,Tulane University,6'5'',TR,Houston,,,,2024,Houston,275, None, None,,,,,,,,,,,,,
Michael Batton,ILB,Houston,TX,University of Louisiana Monroe,6'2'',TR,Houston,,,,2024,Houston,225,,,,,,,,,,,,,,,
Dakota White,OG,Katy,TX,Louisiana Tech University,6'4'',TR,Houston,,,,2024,Houston,306, None, None,,,,,,,,,,,,,
Everitt Rogers,DT,Killeen,TX,University of Tulsa,6'1'',TR,Houston,,,,2024,Houston,298, None, None,,,,,,,,,,,,,
Jake Wiley,OG,Centennial,CO,University of California at Los Angeles,6'6'',TR,Houston,,,,2024,Houston,310,,,,,,,,,,,,,,,
Kris Davis,CB,Mobile,AL,Southern University Lab,6'1'',TR,Houston,,,,2024,Houston,180,,,,,,,,,,,,,,,
Kendre Gant,OLB,Port Saint Lucie,FL,University of Louisiana at Lafayette,6'4'',TR,Houston,,,,2024,Houston,222, None, None,,,,,,,,,,,,,
Jeremiah Wilson,CB,Kissimmee,FL,Syracuse University,5'10'',TR,Houston,,,,2024,Houston,179,,,,,,,,,,,,,,,
Corey Platt Jr.,OLB,New Orleans,LA,Tulane University,6'1'',TR,Houston,,,,2024,Houston,215,,,,,,,,,,,,,,,
Quindario Lee,DT,Mount Pleasant,MI,Central Michigan University,6'5'',TR,Houston,,,,2024,Houston,280, None, None,,,,,,,,,,,,,
Kentrell Webb,CB,Katy,TX,Tulane University,5'11'',TR,Houston,,,,2024,Houston,185, None, None,,,,,,,,,,,,,
Zeon Chriss,QB-DT,Baton Rouge,LA,University of Louisiana at Lafayette,6'2'',TR,Houston,,,,2024,Houston,209, None, None,,,,,,,,,,,,,
Mekhi Mews,WR,Lawrenceville,GA,University of Georgia,5'8'',TR,Houston,,,,2024,Houston,185, None, None,,,,,,,,,,,,,
Hersey McLaurin,S,Collins,MS,West Virginia University,6'2'',TR,Houston,,,,2024,Houston,210, None, None,,,,,,,,,,,,,
Jayden York,TE-Y,Austin,TX,Texas Tech University,6'4'',TR,Houston,,,,2024,Houston,245, None, None,,,,,,,,,,,,,
Teagan Wilk,S,Berwick,PA,East Carolina University,5'11'',TR,Houston,,,,2024,Houston,190,,,,,,,,,,,,,,,
Cedric Melton,OT,Houston,TX,University of Mississippi,6'5'',TR,Houston,,,,2024,Houston,290, None, None,,,,,,,,,,,,,
Sam Secrest,OT,Greenwood,IN,University of Louisville,6'5'',TR,Houston,,,,2024,Houston,295, None, None,,,,,,,,,,,,,
Gabe Peterson,OLB,Overland Park,KS,New Mexico State University,6'2'',TR,Houston,,,,2024,Houston,250,,,,,,,,,,,,,,,
Christian Brathwaite,ILB,Cypress,TX,Louisiana State University,6'1'',TR,Houston,,,,2024,Houston,218,,,,,,,,,,,,,,,
