Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Jordan Prestwood,OTPlant City,FL,6'6'',265,1,80,Florida State,,13,76,,2011,Florida State,,
Nile Lawrence-Stample,DTDavie,FL,6'1'',297,1,80,Florida State,,23,,,2011,Florida State,,
Kelvin Benjamin,WRBelle Glade,FL,6'5'',210,2,80,Florida State,,15,,,2011,Florida State,,
Devonta Freeman,RBMiami,FL,5'8'',195,1,80,Florida State,,14,,,2011,Florida State,,
Lamarcus Brutus,SPort Saint Lucie,FL,5'11'',185,2,80,Florida State,,9,99,NR,2011,Florida State,,
Arrington Jenkins,OLBMiami,FL,6'2'',225,1,80,Florida State,,18,115,NR,2011,Florida State,,
Derrick Mitchell,DTJacksonville,FL,6'4'',285,1,79,Florida State,,13,,,2011,Florida State,,
Josue Matias,OTUnion City,NJ,6'5'',290,1,79,Florida State,,26,,,2011,Florida State,,
Terrance Smith,OLBDecatur,GA,6'3'',215,2,79,Florida State,,30,174,NR,2011,Florida State,,
Eric Beverly,RBJacksonville,FL,5'9'',216,3,78,Florida State,,50,,,2011,Florida State,,
Tre Jackson,DTJesup,GA,6'4'',290,5,78,Florida State,,8,,,2011,Florida State,,
Trey Pettis,OCDeLand,FL,6'5'',285,1,78,Florida State,,15,,,2011,Florida State,,
Sterling Lovelady,OCPensacola,FL,6'2'',272,2,77,Florida State,,76,418,NR,2011,Florida State,,
Ruben Carter,OTMiami,FL,6'4'',263,7,76,Florida State,,,,,2011,Florida State,,
Jacob Coker,QBMobile,AL,6'4'',200,7,75,Florida State,,180,,,2011,Florida State,,
Terry Bell,DTLakeland,FL,6'4'',280,9,0,Florida State,,212, NR, NR,2011,Florida State,,
Austin Barron,OGFort Lauderdale,FL,6'3'',280,2,0,Florida State,,,,,2011,Florida State,,
Jacob Fahrenkrug,OG (JC)Robbinsdale,ND,6'3'',320,0,0,Florida State,,,,,2011,Florida State,,
Cornellius Carradine,DE (JC)Cincinnati,OH,6'5'',250,0,0,Florida State,,,,,2011,Florida State,,
Mario Edwards,DE,Denton,TX,6'4'',297,90,Florida State,,1,1,1,2012,Florida State,,
Eddie Goldman,DT,Washington,DC,6'4'',310,85,Florida State,,1,2,1,2012,Florida State,,
Jameis Winston,QB,Hueytown,AL,6'4'',195,84,Florida State,,1,,,2012,Florida State,,
Chris Casher,DE,Mobile,AL,6'5'',236,83,Florida State,,3,,,2012,Florida State,,
Ronald Darby,CB,Oxon Hill,MD,5'11'',176,82,Florida State,,3,,,2012,Florida State,,
Mario Pender,RB,Cape Coral,FL,6'0'',190,81,Florida State,,8,,,2012,Florida State,,
Marvin Bracy,WR,Orlando,FL,5'9'',168,81,Florida State,,12,,,2012,Florida State,,
Justin Shanks,DT,Prattville,AL,6'3'',310,80,Florida State,,10,,,2012,Florida State,,
Ukeme Eligwe,ILB,Stone Mountain,GA,6'2'',208,80,Florida State,,3,,,2012,Florida State,,
P.J. Williams,S,Ocala,FL,6'0'',180,80,Florida State,,6,59,23,2012,Florida State,,
Sean Maguire,QB,West Orange,NJ,6'2'',195,80,Florida State,,13,,,2012,Florida State,,
Dalvon Stuckey,DT,De Funiak Springs,FL,6'2'',300,79,Florida State,,24,114,40,2012,Florida State,,
Reggie Northrup,OLB,Jacksonville,FL,6'2'',215,79,Florida State,,28,,,2012,Florida State,,
Christo Kourtzidis,TE,Orange,CA,6'4'',240,78,Florida State,,26,91,62,2012,Florida State,,
Colin Blake,CB,San Antonio,TX,6'2'',180,78,Florida State,,30,116,90,2012,Florida State,,
Roberto Aguayo,K,Mascotte,FL,6'0'',193,78,Florida State,,6,302,105,2012,Florida State,,
Cason Beatty,K,Charlotte,NC,6'3'',225,75,Florida State,,24,,,2012,Florida State,,
Daniel Glauser,OT (JC),Rheinfelden,Switzerland,NR,6'6'',320,NR,Florida State,,,,2012,Florida State,,
Menelik Watson,OT (JC),Manchester,England,NR,6'6'',325,NR,Florida State,NR,NR,NR,2012,Florida State,,
Kevin Haplea,TE (TR),Annandale,NJ,TR,6'4'',252,TR,Florida State,, None, None,2012,Florida State,,
Matthew Thomas,OLB,Miami,FL,6'3'',205,90.0,Florida State,,1,,,2013,Florida State,6,4
Jalen Ramsey,CB,Brentwood,TN,6'0'',190,89.0,Florida State,,14,,,2013,Florida State,,
Ryan Green,ATH,Saint Petersburg,FL,5'10'',187,88.0,Florida State,,3,,,2013,Florida State,,
DeMarcus Walker,DT,Jacksonville,FL,6'4'',280,87.0,Florida State,,40,,,2013,Florida State,,
Levonte Whitfield,ATH,Orlando,FL,5'9'',176,85.0,Florida State,,7,,,2013,Florida State,,
Ira Denson,OG,Madison,FL,6'4'',317,84.0,Florida State,,4,,,2013,Florida State,55,25
Keith Bryant,DT,Delray Beach,FL,6'2'',292,83.0,Florida State,,14,,,2013,Florida State,,
Marquez White,CB,Dothan,AL,6'1'',170,83.0,Florida State,,17,,,2013,Florida State,74,7
Isaiah Jones,WR,Milton,FL,6'4'',194,83.0,Florida State,,18,,,2013,Florida State,75,32
Ro'Derrick Hoskins,OLB,Orlando,FL,6'3'',215,83.0,Florida State,,15,,,2013,Florida State,118,44
Freddie Stevenson,OLB,Bartow,FL,6'1'',230,82.0,Florida State,,12,,,2013,Florida State,37,12
E.J. Levenberry Jr.,ILB,Woodbridge,VA,6'3'',230,82.0,Florida State,,33,,,2013,Florida State,,
Tyrell Lyons,OLB,Jacksonville,FL,6'2'',220,81.0,Florida State,,62,,,2013,Florida State,221,89
Jesus Wilson,WR,Miami,FL,5'10'',165,80.0,Florida State,,,,,2013,Florida State, None, None
Nate Andrews,WR,Fairhope,AL,5'11'',195,78.0,Florida State,,,,,2013,Florida State,,
Ryan Hoefeld,OC,New Orleans,LA,6'3'',265,78.0,Florida State,,,,,2013,Florida State,,
Desmond Hollin,DE,Miami,FL,6'4'',260,76.0,Florida State,,27,,,2013,Florida State,425,156
John Franklin,QB-DT,Plantation,FL,6'1'',168,75.0,Florida State,,77,,,2013,Florida State,,
Davarez Bryant,DE,New Smyrna Beach,FL,6'4'',245,75.0,Florida State,,,,,2013,Florida State,464,32
Wilson Bell,OG,Prichard,AL,6'4'',290,75.0,Florida State,,38,,,2013,Florida State,617,237
Jeremy Kerr,TE-YS,Saint Petersburg,FL,6'5'',236,71.0,Florida State,,,,,2013,Florida State, None, None
Richy Klepal,OT,Tampa,FL,6'4'',285,,Florida State,,,,,2013,Florida State,,
Dalvin Cook,RB,Miami,FL,5'11'',196,87,,Florida State,3,12,3,2014,Florida State,,
Ermon Lane,WR,Homestead,FL,6'2'',196,87,,Florida State,2,,,2014,Florida State,,
Kain Daub,ILB,Jacksonville,FL,6'4'',243,85,,Florida State,3,18,6,2014,Florida State,,
Lorenzo Featherston,DE,Greensboro,NC,6'7'',220,85,,Florida State,5,,,2014,Florida State,,
Travis Rudolph,WR,West Palm Beach,FL,6'1'',188,84,,Florida State,6,,,2014,Florida State,,
Jacob Pugh,OLB,Tallahassee,FL,6'4'',224,83,,Florida State,5,61,18,2014,Florida State,,
Delvin Purifoy,OLB,Pensacola,FL,6'2'',234,83,,Florida State,6,64,20,2014,Florida State,,
Ja'Von Harrison,ATH,Lakeland,FL,6'1'',190,83,,Florida State,14,,,2014,Florida State,,
Roderick Johnson,OT,Florissant,MO,6'6'',320,83,,Florida State,13,99,33,2014,Florida State,,
Corey Martinez,OG,Tampa,FL,6'4'',302,83,,Florida State,17,,,2014,Florida State,,
Demarcus Christmas,DT,Bradenton,FL,6'4'',290,82,,Florida State,21,,,2014,Florida State,,
Derrick Nnadi,DT,Virginia Beach,VA,6'1'',299,82,,Florida State,7th,,,2014,Florida State,,
Chad Mavety,OT (JC),Garden City,NY,6'6'',320,81,,Florida State,7,66,45,2014,Florida State,,
Mavin Saunders,TE-Y,Houston,TX,6'5'',233,81,,Florida State,40,198,70,2014,Florida State,,
Jonathan Vickers,RB,Tallahassee,FL,6'0'',212,80,,Florida State,37,,,2014,Florida State,,
Rick Leonard,DE,Middletown,MD,6'6'',250,79,,Florida State,8,,,2014,Florida State,,
Alec Eberle,OC,Mechanicsville,VA,6'4'',271,79,,Florida State,3,,,2014,Florida State,,
Kareem Are,OG (JC),Fort Scott,KS,6'5'',310,78,,Florida State,18,,,2014,Florida State,,
Ryan Izzo,TE-Y,Sparta,NJ,6'6'',215,78,,Florida State,48,311,22,2014,Florida State,,
Ethan Frith,OT,Summit,MS,6'7'',336,78,,Florida State,48,320,115,2014,Florida State,,
Trey Marshall,S, Lake City,FL,6'0'',196,77,,Florida State,51,93,17,2014,Florida State,,
Brock Ruble,OT,Hyattsville,MD,6'9'',322,77,,Florida State,366,73,126,2014,Florida State,,
Adam Torres,DT,Lake Mary,FL,6'5'',265,77,,Florida State,394,,,2014,Florida State,,
Derrick Kelly Jr.,OT,Quincy,FL,6'5'',268,76,,Florida State,,,,2014,Florida State,,
Malique Jackson,ATH,Jesup,GA,6'1'',170,75,,Florida State,104,,,2014,Florida State,,
Fredrick Jones,DT,Miami,FL,6'2'',270,74,,Florida State,,,,2014,Florida State,,
Arthur Williams,DT,Fayetteville,NC,6'4'',280,73,,Florida State,3,,,2014,Florida State,,
Stephen Gabbard,LS,Tallahassee,FL,6'3'',220,69,,Florida State,,,,2014,Florida State,,
George Campbell,ATH,Tarpon Springs,FL,6'4'',190,5,91,Florida State,1,,,2015,Florida State,4,3
Derwin James,S,Haines City,FL,6'2'',202,5,91,Florida State,8,,,2015,Florida State,5,4
Josh Sweat,DE,Chesapeake,VA,6'5'',240,5,90,Florida State,11,,,2015,Florida State,1,1
Deondre Francois,QB-DT,Orlando,FL,6'2'',193,4,87,Florida State,3,,,2015,Florida State,21,10
Da'Vante Phillips,WR,Miami,FL,6'2'',202,4,86,Florida State,5,,,2015,Florida State,25,13
Tarvarus McFadden,CB,Plantation,FL,6'3'',198,4,86,Florida State,3,,,2015,Florida State,,
