Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Stars,School
Deondre Singleton,S,Lawrenceville,GA,5'11'',170,Duke,,,,,2013,Duke,,,72,
Ryan Smith,WR,Las Vegas,NV,5'7'',160,Duke,,5,246,6,2013,Duke,,,72,
Quay Chambers,QB,Monroe,NC,6'4'',193,Duke,,40,,,2013,Duke,,,71,
Bryon Fields Jr.,ATH,Charlotte,NC,5'10'',154,Duke,,166,,,2013,Duke,,,71,
Breon Borders,CB,Statesville,NC,6'0'',165,Duke,,108,,,2013,Duke,,,70,
Gabe Brandner,OT,Columbia,SC,6'5'',250,Duke,,159,,,2013,Duke,,,67,
Mike Ramsay,DT,Marietta,GA,6'3'',260,Duke,,NR, NR, NR,2013,Duke,,,NR,
Keyston Fuller,WR,Griffin,GA,6'0'',175,81,,27,110,25,2015,Duke,,,,Griffin High School
Ben Humphreys,OLB,Santa Ana,CA,6'2'',202,80,,22,55,38,2015,Duke,,,,Mater Dei High School
Reno Rosene,OT,Westlake Village,CA,6'8'',344,79,,48,74,48,2015,Duke,,,,Oaks Christian High School
Trevon McSwain,DE,Sugar Hill,GA,6'6'',219,79,,39,,,2015,Duke,,,,Lanier High School
T.J. Rahming,WR,Powder Springs,GA,5'9'',152,79,,73,,,2015,Duke,,,,McEachern High School
Quentin Harris,QB-DT,Watertown,CT,6'0'',180,78,,22,72,4,2015,Duke,,,,Taft School
Aaron Young,WR,Murrieta,CA,6'4'',197,78,,99,112,74,2015,Duke,,,,Murrieta Valley High School
Jeremy McDuffie,CB,Snellville,GA,5'11'',168,78,,49,,,2015,Duke,,,,Shiloh High School
Zach Morris,DE,Ringgold,GA,6'4'',259,78,,336,63,80,2015,Duke,,,,Ringgold High School
Marquies Price,DE,Fort Valley,GA,6'5'',225,77,,65,339,81,2015,Duke,,,,Peach County High School
Brandon Boyce,DT,Fort Lauderdale,FL,5'11'',253,76,,152,446,61,2015,Duke,,,,Saint Thomas Aquinas High School
Jordan Hayes,S,Loganville,GA,6'0'',175,76,,65,455,103,2015,Duke,,,,Grayson High School
Zach Baker,OG,Green Cove Springs,FL,6'4'',263,76,,464,,,2015,Duke,,,,Clay High School
Twazanga Mugala,DE,Charlotte,NC,6'3'',202,76,,, None, None,2015,Duke,,,,Ardrey Kell High School
Austin Parker,K,Mount Pleasant,NC,6'2'',175,74,,22,,,2015,Duke,,,,Mount Pleasant High School
Joseph Giles-Harris,OLB,Montvale,NJ,6'2'',202,73,,41,,,2015,Duke,,,,Saint Joseph Regional High School
Brandon Feamster,S (POST),Exton,PA,6'2'',200,70,,,,,2015,Duke,,,,Cheshire Academy
Daniel Helm,TE-Y (TR),Chatham,IL,6'4'',240,TR,,, None, None,2015,Duke,,,,University of Tennessee
Jake Marwede,TE,ILLoyola Academy,IL,6'5'',235,82,Duke,4,,,2017,Duke,15,4,,
Drew Jordan,OLB,GANorth Gwinnett High School,GA,6'2'',236,80,Duke,17,,,2017,Duke,,,,
Will Taylor,OC,GAGrayson High School,GA,6'4'',280,79,Duke,5,,,2017,Duke,,,,
Joshua Blackwell,ATH,GABuford High School,GA,5'11'',175,79,Duke,41,,,2017,Duke,230,56,,
Damond Johnson,WR,FLWest Florida Tech High School,FL,6'0'',170,79,Duke,86,,,2017,Duke,,,,
Jacob Rimmer,OT,TNMilan High School,TN,6'6'',265,78,Duke,51,,,2017,Duke,,,,
Patrick Leitten,OT,TNRavenwood High School,TN,6'8'',247,78,Duke,,,,2017,Duke,,,,
Rakavius Chambers,OG,ALOpelika High School,AL,6'3'',275,77,Duke,51,,,2017,Duke,,,,
Marvin Hubbard,RB,GASandy Creek High School,GA,5'8'',176,77,Duke,,,,2017,Duke,,,,
Deon Jackson,RB,GAPace Academy,GA,6'0'',203,77,Duke,,,,2017,Duke,,,,
Marquis Waters,ATH,FLAtlantic High School,FL,6'0'',192,77,Duke,385,,,2017,Duke,67,140,,
Chris Katrenick,QB,ILH. D. Jacobs High School,IL,6'2'',205,77,Duke,34,,,2017,Duke,,,,
Noah Gray,ATH,MALeominster High School,MA,6'5'',224,77,Duke,70,,,2017,Duke,109,3,,
Leonard Johnson,S,ALHayden High School,AL,6'2'',185,76,Duke,64,,,2017,Duke,444,44,,
Michael Carter II,SDouglasville,GA,5'10'',174,75,Duke,,,,,2017,Duke,,,,
Chris Rumph,OLB,FLBuchholz High School,FL,6'2'',194,75,Duke,72,,,2017,Duke,,,,
Derrick Tangelo,DTMDBullis School,MD,6'1'',284,74,Duke,,139,,,2017,Duke,75,19,,
Ben Frye,DEDublin,OH,6'2'',245,74,Duke,,100,,,2017,Duke,,,,
Axel Nyembwe,DT,MDThe Avalon School,MD,6'1'',300,73,Duke,92,,,2017,Duke,163,26,,
Victor Dimukeje,DT,Baltimore,MD,6'2'',254,72,Duke,169,,,2017,Duke,94,27,,
Lummie Young,S,SCWestside High School,SC,6'1'',190,72,Duke,108,,,2017,Duke,656,22,,
Evan Lisle,OT,OHThe Ohio State University,OH,6'6'',310,,Duke,,,,2017,Duke,,,,
Tahj Rice,DT,Louisville,KY,6'3'',270,80,Duke,32,,,2018,Duke,182,3,,
Gunnar Holmberg,QB-PP,Wake Forest,NC,6'3'',174,80,Duke,28,,,2018,Duke,,,,
Casey Holman,OT,Snellville,GA,6'4'',279,79,Duke,34,,,2018,Duke,228,53,,
Rocky Shelton,OLB,Fort Lauderdale,FL,5'11'',208,78,Duke,36,,,2018,Duke,,,,
Shaka Heyward,OLB,Hoschton,GA,6'2'',210,78,Duke,41,,,2018,Duke,,,,
Kendrick Torain,ATH,Tampa,FL,6'2'',197,77,Duke,67,,,2018,Duke,389,145,,
Maurice McIntyre,OG,Jacksonville,NC,6'1'',331,76,Duke,56,,,2018,Duke,420,29,,
Elijah Brown,DT,Charlotte,NC,6'3'',290,76,Duke,421,,,2018,Duke,,,,
Jarett Garner,WR,Harrisburg,NC,6'3'',186,76,Duke,179,,,2018,Duke,458,32,,
Nate Thompson,SS,Sanford,NC,6'2'',186,76,Duke,57,,,2018,Duke,,,,
Jake Bobo,WR,Belmont,MA,6'4'',182,75,Duke,127,,,2018,Duke,,,,
Mataeo Durant,RB,McCormick,SC,6'0'',180,75,Duke,521,,,2018,Duke,,,,
Peace Addo,OG,Baltimore,MD,6'5'',300,74,Duke,81,,,2018,Duke,140,24,,
Dennis Smith,WR,Gaffney,SC,6'2'',182,74,Duke,203,,,2018,Duke,572,29,,
Jeremiah Lewis,CB,Plano,TX,6'0'',178,74,Duke,108,,,2018,Duke,,,,
Zamari Ellis,TE-Y,Henderson,NC,6'4'',240,74,Duke,43,,,2018,Duke,,,,
Tony Davis,CB,Gastonia,NC,"6'2""",195,Duke,,34,201,14,2019,Duke,,,80,
Ron Carr,OT,Solon,OH,"6'5""",245,Duke,,45,43,13,2019,Duke,,,79,
Ahmad Craig,DE,Buford,GA,"6'5""",236,Duke,,63,,,2019,Duke,,,79,
Jacob Monk,OC,Wendell,NC,"6'3""",300,Duke,,9,,,2019,Duke,,,79,
Christian Rorie,DE,Raleigh,NC,"6'5""",265,Duke,,74,267,25,2019,Duke,,,79,
DeWayne Carter,DT,Pickerington,OH,"6'2""",275,Duke,,41,53,20,2019,Duke,,,79,
Darrell Harding,WR,Winter Garden,FL,"6'4""",190,Duke,,, None, None,2019,Duke,,,79,
John Gelotte,OT,Roebuck,SC,"6'6""",280,Duke,,72,331,8,2019,Duke,,,78,
Eli Pancol,WR,Pendleton,IN,"6'3""",190,Duke,,100,,,2019,Duke,,,77,
Jordan Waters,WR,Fairmont,NC,"6'0""",199,Duke,,123,,,2019,Duke,,,77,
R.J. Oben,DE,Jersey City,NJ,"6'5""",239,Duke,,123,105,23,2019,Duke,,,76,
Isaiah Kemp,CB,Wilmington,NC,"6'1""",180,Duke,,90,,,2019,Duke,,,76,
Caleb Oppan,DE,Kennesaw,GA,"6'3""",215,Duke,,130,462,101,2019,Duke,,,76,
Sayyid Stevens,DE,Savannah,GA,"6'2""",225,Duke,,134,,,2019,Duke,,,76,
Charlie Ham,K,Atlanta,GA,"6'1""",175,Duke,,7,477,106,2019,Duke,,,76,
Jalen Alexander,CB,Loganville,GA,"5'11""",157,Duke,,97,489,109,2019,Duke,,,76,
Jaylen Coleman,RB,Indian Trail,NC,"6'1""",200,Duke,,,96,58,2019,Duke,,,74,
Jalon Calhoun,ATH,Greenville,SC,"5'11""",180,Duke,,130,601,28,2019,Duke,,,74,
Porter Wilson,K,Copley,OH,"6'3""",215,Duke,,22,151,57,2019,Duke,,,74,
Elijah Wroten,OG,Fort Washington,PA,"6'2""",301,Duke,,82,,,2019,Duke,,,74,
Matthew Smith,TE,Needham,MA,"6'4""",230,Duke,,32,,,2019,Duke,,,73,
Trent Davis,RB,Attalla,AL,5'10'',175,77.0,Duke,47,,,2021,Duke,304,26,,
Cameron Bergeron,CB,Albany,GA,5'11'',180,77.0,Duke,57,,,2021,Duke,334,72,,
Sahmir Hagans,WR,Philadelphia,PA,5'9'',170,77.0,Duke,124,,,2021,Duke,96,18,,
Dylan Merrell,CB,Alpharetta,GA,6'0'',175,76.0,Duke,64,,,2021,Duke,,,,
Anthony Freeman,OLB,Durham,NC,5'11'',210,76.0,Duke,76,,,2021,Duke,366,42,,
Jordan Moore,ATH,Baltimore,MD,6'2'',175,76.0,Duke,68,,,2021,Duke,104,26,,
Riley Leonard,QB-PP,Fairhope,AL,6'4'',190,76.0,Duke,39,,,2021,Duke,,,,
Joshua Pickett,CB,Mount Airy,GA,6'0'',175,76.0,Duke,76,,,2021,Duke,,,,
Placide Djungu-Sungu,S,Arlington,TX,6'0'',170,76.0,Duke,69,,,2021,Duke,,,,
Andrew Jones,OT,Pfafftown,NC,6'4'',250,76.0,Duke,87,,,2021,Duke,,,,
Aaron Hall,DE,Durham,NC,6'6'',220,75.0,Duke,114,,,2021,Duke,,,,
Brandon Johnson,CB,Newton,NC,5'10'',170,75.0,Duke,481,,,2021,Duke,89,56,,
Nick Morris Jr.,ILB,Austin,TX,6'3'',225,75.0,Duke,38,,,2021,Duke,247,187,,
