Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Andrew Taglianetti,ATH,Pittsburgh,PA,,170,,,Pittsburgh,,,,2008,Pittsburgh, None, None
Tino Sunseri,QB,Pittsburgh,PA,6'2'',190,,80.0,Pittsburgh,14,,,2008,Pittsburgh,,
Mike Shanahan,ATH,North Huntingdon,PA,6'4'',197,,76.0,Pittsburgh,,,,2008,Pittsburgh,,
Cameron Saddler,ATH,Monroeville,PA,5'6'',157,,78.0,Pittsburgh,42,,,2008,Pittsburgh,,
Antwuan Reed,CB,Johnstown,PA,5'10'',170,,74.0,Pittsburgh,74,,,2008,Pittsburgh, NR, NR
Luke Nix,OT,Jefferson Hills,PA,6'6'',305,,81.0,Pittsburgh,124th,,,2008,Pittsburgh, NR, NR
Rob Houser,OC (JC),Chico,CA,,285,,,Pittsburgh,,,,2008,Pittsburgh, None, None
Jarred Holley,WR,Easton,PA,5'10'',165,,65.0,Pittsburgh,230,,,2008,Pittsburgh, NR, NR
Ronald Hobby,WR,Brandywine,MD,5'10'',170,,67.0,Pittsburgh,202,,,2008,Pittsburgh, NR, NR
Kevin Harper,K,Mentor,OH,5'11'',170,,,Pittsburgh,,,,2008,Pittsburgh, None, None
Shayne Hale,ILB,Monroeville,PA,6'3'',235,,81.0,Pittsburgh,8.0,,,2008,Pittsburgh,,
Mike Cruz,TE,Johnstown,PA,6'3'',250,,78.0,Pittsburgh,23,,,2008,Pittsburgh,,
Greg Cross,QB (JC),Brunswick,GA,,200,,,Pittsburgh,,,,2008,Pittsburgh,,
Chris Burns,RB,New Wilmington,PA,5'10'',190,,81.0,Pittsburgh,,,,2008,Pittsburgh,,
Jonathan Baldwin,WR,Aliquippa,PA,6'6'',220,,83.0,Pittsburgh,8.0,,,2008,Pittsburgh, NR, NR
Todd Thomas,ATH,Beaver Falls,PA,6'3'',205,,80.0,Pittsburgh,,,,2010,Pittsburgh,,
Anthony Gonzalez,ATH,Bethlehem,PA,6'2'',205,,80.0,Pittsburgh,20,NR,NR,2010,Pittsburgh,,
Aaron Donald,DT,Pittsburgh,PA,6'1'',260,,79.0,Pittsburgh,22,,,2010,Pittsburgh,,
Matt Rotheram,OT,North Olmsted,OH,6'6'',318,,79.0,Pittsburgh,21,,,2010,Pittsburgh,,
Andrew Carswell,WR,Mckees Rocks,PA,6'4'',204,,79.0,Pittsburgh,44,,,2010,Pittsburgh,,
T.J. Clemmings,DE,Paterson,NJ,6'5'',255,,78.0,Pittsburgh,,,,2010,Pittsburgh,,
T.J. Peeler,RB,Ashburn,VA,6'0'',200,,77.0,Pittsburgh,42,,,2010,Pittsburgh,,
Shane Johnson,OT,Hyattsville,MD,6'4'',302,,77.0,Pittsburgh,44.0,,,2010,Pittsburgh,,
Brandon Ifill,S,Pittsburgh,PA,6'0'',174,,77.0,Pittsburgh,NR,,,2010,Pittsburgh,,
Andre Givens,RB,Hubbard,OH,5'9'',180,,77.0,Pittsburgh,,,,2010,Pittsburgh,,
Jeff Knox,WR,Hyattsville,MD,6'2'',185,,77.0,Pittsburgh,,,,2010,Pittsburgh,,
Eric Williams,ATH,Fairless Hills,PA,6'3'',204,,77.0,Pittsburgh,,,,2010,Pittsburgh,,
Dan Schneider,TE,Avon Lake,OH,6'3'',230,,77.0,Pittsburgh,,,,2010,Pittsburgh,,
Salath Williams,WR,Harrisburg,PA,6'3'',180,,77.0,Pittsburgh,,,,2010,Pittsburgh,,
