Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School
Dexter Heyman,OLB,Louisville,KY,6'3'',215,69,Louisville Male High School,120,,,2008,Louisville,565, None,,
Cameron Graham,TE,Inglewood,CA,6'4'',245,NR,El Camino College,,,,2008,Louisville,,,,
Kardell Dunning,CB,Belle Glade,FL,6'0'',180,NR,Glades Central High School,,,,2008,Louisville,,,,
Damion Dixon,WR,Port Allen,LA,6'4'',186,77,Port Allen High School,90,,,2008,Louisville,,,,
Jon Dempsey,OLB,Camden,NJ,6'2'',225,NR,College of Sequoias,,,,2008,Louisville,,,,
Maurice Clark,WR,Lake Elsinore,CA,6'3'',205,NR,Saddleback High School,,,,2008,Louisville, None, None,,
Antwon Canady,ILB,Swainsboro,GA,6'1'',236,NR,Hutchinson Community College,,,,2008,Louisville, None, None,,
Chris Campa,OLB,Orlando,FL,6'2'',215,NR,Butler County Community College,,,,2008,Louisville, NR, NR,,
Jacques Caldwell,RB,Garland,TX,5'9'',165,75,Garland High School,104,,,2008,Louisville,,,,
Daniel Brown,S,Atlanta,GA,6'1'',190,NR,Douglass High School,,,,2008,Louisville,,,,
Mario Benavides,OT,Los Fresnos,TX,6'4'',280,78,Los Fresnos High School,40,,,2008,Louisville,,,,
Ryan Barnes,OT,Carmel,IN,6'7'',295,NR,Carmel High School,NR,,,2008,Louisville,NR,NR,,
Stephon Ball,WR,Cincinnati,OH,6'4'',215,66,Saint Xavier High School,6,,,2008,Louisville, NR, NR,,
Keith Baker,OLB,Scotch Plains,NJ,6'2'',207,70,Scotch Plains-Fanwood High School,114,,,2008,Louisville,,,,
Darius Ashley,RB,Cincinnati,OH,5'8'',180,78,Saint Xavier High School,56,,,2008,Louisville,,,,
B.J. Butler,DE,Kissimmee,FL,6'3'',225,,Louisville,21,,,2010,Louisville,,,80.0,
Deon Rogers,OLB,Port Saint Lucie,FL,6'2'',185,,Louisville,18,,,2010,Louisville,,,79.0,
Michaelee Harris,WR,Miami,FL,6'0'',174,,Louisville,40,,,2010,Louisville,,,79.0,
Marcus Smith,ATH,Columbus,GA,6'3'',210,,Louisville,35,,,2010,Louisville,,,79.0,
Chase Petersen,OG,Bentonville,AR,6'3'',280,,Louisville,NR,,,2010,Louisville,,,77.0,
Jordan Paschal,S,Trotwood,OH,5'11'',180,,Louisville,,,,2010,Louisville,,,77.0,
Stephan Robinson,WR,Louisville,KY,5'8'',165,,Louisville,,,,2010,Louisville,,,77.0,
Kamal Hogan,RB,Montvale,NJ,6'0'',197,,Louisville,67, NR, NR,2010,Louisville,,,77.0,
Luke Woodley,QB,Dallas,TX,6'2'',182,,Louisville,49,,,2010,Louisville,,,77.0,
Dominique Brown,ATH,Cincinnati,OH,6'2'',210,,Louisville,,,,2010,Louisville,,,77.0,
Preston Brown,OLB,Cincinnati,OH,6'2'',225,,Louisville,,,,2010,Louisville,,,76.0,
Jarrett Davis,WR,Tyrone,GA,5'11'',165,,Louisville,124.0,,,2010,Louisville,,,76.0,
Tyrrell Willis,ATH,Murray,KY,6'2'',245,,Louisville,118,,,2010,Louisville,,,76.0,
Corvin Lamb,RB,Miami,FL,5'9'',184,,Louisville,,,,2010,Louisville,,,75.0,
Tyon Dixon,OLB,Cincinnati,OH,5'11'',185,,Louisville,75,,,2010,Louisville,,,75.0,
Dylan Curry,TE,Frankfort,KY,6'5'',233,,Louisville,40,,,2010,Louisville,,,75.0,
Brandon Dunn,DT,Louisville,KY,6'3'',265,,Louisville,,,,2010,Louisville,,,75.0,
Lacy Coleman,DE,Tyrone,GA,6'5'',218,,Louisville,,,,2010,Louisville,,,74.0,
Jake Smith,OT,Jacksonville,AL,6'5'',303,,Louisville,111,,,2010,Louisville,,,74.0,
Nick Robertson,K,Louisville,KY,6'5'',190,,Louisville,47.0,,,2010,Louisville,,,72.0,
Chris Acosta,OG,Hialeah,FL,6'4'',248,Louisville,,,,,2010,Louisville,,,,
Jamaine Brooks,OT,Miami,FL,6'4'',282,Louisville,,NR,NR,NR,2010,Louisville,,,,
Senorise Perry,ATH,Summerville,GA,6'0'',176,Louisville,,,,,2010,Louisville,,,,
Kai Dominguez,WR,Montvale,NJ,6'0'',165,Louisville,,,,,2010,Louisville,,,,
Randy Salmon,DT,Stockbridge,GA,6'1'',295,Louisville,,,,,2010,Louisville,,,,
Tyler Harrell,DE,Dublin,OH,6'3'',230,Louisville,,,,,2010,Louisville,,,,
Joshua Bellamy,WR,Saint Petersburg,FL,6'1'',207,Louisville,,,,,2010,Louisville,,,,
Jordan Campbell,ILB,Corona,CA,5'11'',230,Louisville,,,,,2010,Louisville,,,,
Gerod Holliman,S,Miami,FL,6'0'',188,81.0,Louisville,3,,,2011,Louisville,29, None,,
Eli Rogers,WR,Miami,FL,5'10'',178,81.0,Louisville,15,,,2011,Louisville,,,,
Teddy Bridgewater,QB,Miami,FL,6'2'',179,80.0,Louisville,143,,,2011,Louisville,,,,
Brandon Golson,OLB,Saint Matthews,SC,6'2'',210,80.0,Louisville,,,,2011,Louisville, None, None,,
Bryant Dubose,DE,Oakland Park,FL,6'3'',235,79.0,Louisville,23,,,2011,Louisville,115, None,,
Jerrell Moore,RB,Louisville,KY,5'11'',180,79.0,Louisville,27,,,2011,Louisville,167, NR,,
Calvin Pryor,S,Port Saint Joe,FL,6'1'',190,78.0,Louisville,26,,,2011,Louisville,180, None,,
Jamon Brown,DT,Louisville,KY,6'4'',300,78.0,Louisville,48,,,2011,Louisville,,,,
DeVante Parker,WR,Louisville,KY,6'2'',190,78.0,Louisville,77,,,2011,Louisville,,,,
Terrell Floyd,CB,Port Saint Lucie,FL,5'11'',185,78.0,Louisville,32,,,2011,Louisville,,,,
Ryan Mack,OT,Memphis,TN,6'4'',315,78.0,Louisville,57,,,2011,Louisville,282,14,,
Lorenzo Mauldin,DE,Atlanta,GA,6'3'',240,77.0,Louisville,67,,,2011,Louisville,297,65,,
Chase Petersen,OG,Bentonville,AR,6'3'',280,77.0,Louisville,,,,2011,Louisville, None, None,,
Deiontrez Mount,DE,Fort Walton Beach,FL,6'6'',215,77.0,Louisville,101,,,2011,Louisville,,,,
Andrew Johnson,CB,Miami,FL,5'9'',161,77.0,Louisville,44,,,2011,Louisville,379,NR,,
Charles Gaines,WR,Miami,FL,5'11'',175,76.0,Louisville,114,,,2011,Louisville,421,NR,,
John Wallace,K,Cecilia,KY,6'1'',175,76.0,Louisville,25,,,2011,Louisville,448,NR,,
Jermaine Reve,S,Miami,FL,5'11'',167,76.0,Louisville,75,,,2011,Louisville,450, NR,,
Aaron Epps,OT,Tucker,GA,6'6'',240,75.0,Louisville,111,,,2011,Louisville,,,,
Jalen Harrington,ATH,Louisville,KY,6'2'',210,74.0,Louisville,146,,,2011,Louisville,,,,
John Miller,OG,Miami,FL,6'2'',290,74.0,Louisville,74,,,2011,Louisville,553, NR,,
Michael Romano,OC,Port Saint Lucie,FL,6'4'',270,74.0,Louisville,20,,,2011,Louisville,,,,
Jarvis Giles,WR,Tampa,FL,5'11'',187,,Louisville,,,,2011,Louisville,,,,
James Quick,WR,Louisville,KY,6'0'',180,Louisville,,10,,,2013,Louisville,43,1,84.0,
Stacy Thomas,DE,Miami,FL,6'2'',225,Louisville,,17,,,2013,Louisville,,,83.0,
Richard Benjamin,WR,Tampa,FL,5'11'',194,Louisville,,38,,,2013,Louisville,120,46,82.0,
James Hearns,ILB,Tallahassee,FL,6'3'',235,Louisville,,,,,2013,Louisville,,,82.0,
Donel Elam,OLB,Orange Park,FL,6'1'',200,Louisville,,31,,,2013,Louisville,179,72,81.0,
De'Asian Richardson,DT,Orange Park,FL,6'3'',275,Louisville,,51,,,2013,Louisville,204,82,80.0,
Charles Williams,ATH,Hialeah,FL,6'2'',176,Louisville,,30,,,2013,Louisville,,,80.0,
Kyle Bolin,QB-PP,Lexington,KY,6'2'',185,Louisville,,58,,,2013,Louisville,363,134,78.0,
Kyle Shortridge,DT,Loxahatchee,FL,6'2'',273,Louisville,,NR,,,2013,Louisville, NR, None,76.0,
Brett Nelson,QB-PP,La Canada,CA,6'3'',225,Louisville,,46,,,2013,Louisville,400,146,76.0,
Keith Kelsey Jr.,ILB,Gainesville,FL,6'1'',213,Louisville,,,,,2013,Louisville,405,102,76.0,
Chandler Bridges,OG,Flowery Branch,GA,6'4'',270,Louisville,,124,,,2013,Louisville,,,76.0,
Skylar Lacy,OT,Indianapolis,IN,6'7'',304,Louisville,,22,,,2013,Louisville,,,75.0,
Keith Towbridge,TE-Y,Toledo,OH,6'5'',257,Louisville,,108,,,2013,Louisville,,,75.0,
Finesse' Middleton,DT,Gadsden,AL,5'11'',253,Louisville,,,,,2013,Louisville, None, None,75.0,
Cameron Fraser,OT,Phenix City,AL,6'4'',290,Louisville,,64,,,2013,Louisville,,,74.0,
Terrence Ross,S,Apopka,FL,6'2'',185,Louisville,,,,,2013,Louisville,,,73.0,
Lyn Clark,OLB,New Orleans,LA,6'2'',218,Louisville,,,,,2013,Louisville,,,64.0,
Willie Bailey,CB,Hallandale Beach,FL,6'2'',175,Louisville,,,,,2013,Louisville,,,,
Reggie Bonnafon,QB,DT,Louisville,KY,6'1'',81,University of Louisville,8,,,2014,Louisville,151,2,190.0,
Sharieff Rhaheed-Muhammad,OLB,Fort Pierce,FL,6'2'',202,University of Louisville,,24,,,2014,Louisville,,,81.0,
Michael Johnson,S,Hialeah,FL,6'2'',190,University of Louisville,,21,,,2014,Louisville,213,80,80.0,
Henry Famurewa,DE,Powder Springs,GA,6'2'',230,University of Louisville,,48,,,2014,Louisville,267,49,78.0,
Cornelius Sturghill,WR,Memphis,TN,5'11'',167,University of Louisville,,,,,2014,Louisville,,,78.0,
Terry Ramsey,DE,Clayton,OH,6'5'',240,University of Louisville,,55,,,2014,Louisville,72,28,78.0,
Isaac Stewart,ILB,Matthews,NC,6'1'',230,University of Louisville,,28,,,2014,Louisville,,,77.0,
De'Eric Culver,CB,Tallahassee,FL,5'10'',169,University of Louisville,,109,,,2014,Louisville,97,46,77.0,
L.J. Scott,RB,Marion,OH,5'10'',224,University of Louisville,,14,,,2014,Louisville,,,76.0,
Trevon Young,DE,Des Moines,IA,6'4'',235,University of Louisville,,18,,,2014,Louisville,,,76.0,
Kelby Johnson,OT,Hyattsville,MD,6'8'',315,University of Louisville,,530,,,2014,Louisville,,,74.0,
Tae Thibodeaux,DT,New Iberia,LA,6'0'',248,University of Louisville,,109,,,2014,Louisville,,,74.0,
Daniel Burns,OT,Fairfield,OH,6'7'',318,University of Louisville,,169,,,2014,Louisville,541,44,74.0,
Charles Standberry,WR,Montgomery,AL,6'2'',185,University of Louisville,,27,,,2014,Louisville,189,81,74.0,
Micky Crum,TE-H,Columbus,OH,6'4'',220,University of Louisville,,191,,,2014,Louisville,194,13,73.0,
Cameron Polk,WR,Fishers,IN,6'1'',188,University of Louisville,,130,,,2014,Louisville,,,73.0,
Lukayus McNeil,OT,Indianapolis,IN,6'6'',260,University of Louisville,,125,,,2014,Louisville,,,73.0,
Zykiesis Cannon,S,Greenville,SC,5'11'',181,University of Louisville,,685,,,2014,Louisville,,,72.0,
Trumaine Washington,CB,Miami,FL,5'9'',175,University of Louisville,,241,,,2014,Louisville,788,293,72.0,
Javonte Bagley,WR,Vero Beach,FL,6'2'',180,University of Louisville,,,,,2014,Louisville, None, None,68.0,
Carl Williams,S,Jacksonville,FL,6'1'',204,University of Louisville,,,,,2014,Louisville, None, None,,
Tyler Ferguson,QB-PP,Bakersfield,CA,6'4'',225,University of Louisville,,,,,2014,Louisville,,,,
Devonte Fields,DE,Arlington,TX,6'3'',250.0,Louisville,,1.0,,,2015,Louisville, NR, NR,83.0,
Traveon Samuel,ATH,Phenix City,AL,5'7'',175.0,Louisville,,14,,,2015,Louisville,86,7,82.0,
Devante Peete,WR,Fort Lauderdale,FL,6'5'',200.0,Louisville,,26,,,2015,Louisville,107,38,81.0,
Emonee Spence,WR,Pembroke Pines,FL,6'2'',181.0,Louisville,,46,,,2015,Louisville,,,80.0,
Khane Pass,S,Columbus,GA,6'0'',185.0,Louisville,,31,,,2015,Louisville,226,48,79.0,
Jeremy Smith,RB,Hammond,LA,6'1'',225.0,Louisville,,5.0,,,2015,Louisville, None, None,79.0,
Lamar Jackson,QB-DT,Boynton Beach,FL,6'3'',202.0,Louisville,,17,,,2015,Louisville,242,80,79.0,
Geron Christian,OT,Ocala,FL,6'5'',305.0,Louisville,,53,,,2015,Louisville,,,79.0,
Amonte Caban,ILB,Smiths,AL,6'1'',213.0,Louisville,,15,,,2015,Louisville,,,78.0,
Darius Smith,ATH,Florence,AL,6'2'',195.0,Louisville,,63,,,2015,Louisville,281,21,78.0,
James Allen,RB,Citra,FL,5'11'',180.0,Louisville,,57,,,2015,Louisville,,,78.0,
G.G. Robinson,DE,Lilburn,GA,6'4'',260.0,Louisville,,396,,,2015,Louisville,,,77.0,
Trey Smith,RB,Madison,MS,6'1'',202.0,Louisville,,84,,,2015,Louisville,399,22,77.0,
Drew Bailey,DT,Atlanta,GA,6'4'',280.0,Louisville,,11,,,2015,Louisville, NR, NR,77.0,
Jonathan Greenard,DE,Hiram,GA,6'3'',220.0,Louisville,,,,,2015,Louisville,430,97,76.0,
Tim Bonner,DE,Demopolis,AL,6'4'',215.0,Louisville,,77,,,2015,Louisville,437,29,76.0,
Chandler Jones,OG,Powder Springs,GA,6'4'',306.0,Louisville,,68,,,2015,Louisville,,,76.0,
Jaire Alexander,CB,Charlotte,NC,5'11'',165.0,Louisville,,,,,2015,Louisville,473,32,76.0,
Khalil Hunter,OT,Thatcher,AZ,6'4'',295.0,Louisville,,15,,,2015,Louisville,,,76.0,
Jaylen Smith,WR,Pascagoula,MS,6'2'',196.0,Louisville,,152,,,2015,Louisville,506,27,75.0,
Kenny Thomas Jr.,OT,Prattville,AL,6'5'',315.0,Louisville,,129,,,2015,Louisville,592,37,74.0,
Cole Hikutini,TE-Y,Pleasant Grove,CA,6'5'',245.0,Louisville,,4,,,2015,Louisville, NR, NR,73.0,
Paul Harris,WR,Upper Marlboro,MD,,,Louisville,,,,,2015,Louisville, NR, NR,,
Kiola Mahoni,OT,San Mateo,CA,6'4'',300.0,,Louisville,NR,,,2015,Louisville,,,,
Jamari Staples,WR,Birmingham,AL,,,Louisville,,,,,2015,Louisville, None, None,,
C.J. Avery,SG,Grenada,MS,6'1'',195,,Louisville,7,,,2017,Louisville,37,3,84.0,
Justin Marshall,WR,Decatur,GA,6'2'',189,,Louisville,35,,,2017,Louisville,107,30,81.0,
Ronald Rudd,OT,Fontana,CA,6'7'',305,,Louisville,32nd,,,2017,Louisville, NR, NR,80.0,
Colin Wilson,RB,Green Cove Springs,FL,6'0'',210,,Louisville,26,,,2017,Louisville,,,80.0,
Mekhi Becton,OT,Highland Springs,VA,6'6'',300,,Louisville,34,,,2017,Louisville,41,13,80.0,
Toryque Bateman,OT,Gadsden,AL,6'8'',300,,Louisville,36,,,2017,Louisville,187,23,80.0,
Russ Yeast II,ATH,Greenwood,IN,5'11'',178,,Louisville,31,,,2017,Louisville,40,3,80.0,
Joshua Johnson,WR,College Park,GA,5'10'',170,,Louisville,76,,,2017,Louisville,,,79.0,
Caleb Chandler,OG,Jefferson,GA,6'5'',290,,Louisville,33,,,2017,Louisville,,,79.0,
Kemari Averett,TE-H,Atlanta,GA,6'6'',215,,Louisville,14,,,2017,Louisville,349,76,77.0,
Corey Reed Jr.,WR,Roswell,GA,6'2'',194,,Louisville,,,,2017,Louisville,127,77,77.0,
Malik Cunningham,ATH,Montgomery,AL,6'0'',187,,Louisville,65,,,2017,Louisville,,,77.0,
TreSean Smith,S,Cincinnati,OH,6'3'',180,,Louisville,51,,,2017,Louisville,,,77.0,
Dorian Etheridge,OLB,Charleston,WV,6'2'',200,,Louisville,50,,,2017,Louisville,,,77.0,
Cole Bentley,OG,Belfry,KY,6'4'',304,,Louisville,485,,,2017,Louisville,72,4,75.0,
Lyn Strange,S,Tallahassee,FL,6'2'',185,,Louisville,,,,2017,Louisville,,,74.0,
Kaheem Roach,CB,Miramar,FL,6'0'',180,,Louisville,509,,,2017,Louisville,93,191,74.0,
Anthony Johnson,S,Hollywood,FL,6'1'',175,,Louisville,597,,,2017,Louisville,,,73.0,
Rodney Owens,S,Nashville,TN,5'11'',180,,Louisville,603,,,2017,Louisville,92,38,72.0,
Kam Jones,OLB,Suwanee,GA,6'1'',220,,Louisville,106,,,2017,Louisville,660,144,71.0,
Malik Clark,OLB,Milledgeville,GA,6'3'',219,,Louisville,113,,,2017,Louisville,,,71.0,
Mitch Hall,LS,Clayton,NC,6'2'',205,,Louisville,6.0,,,2017,Louisville, None, None,68.0,
Nick Okeke,OLB,Smyrna,TN,6'2'',220,,Louisville,,,,2017,Louisville,,,,
Ja'Darien Boykin,DE,Gray,GA,6'1'',238,83.0,Louisville,49,,,2019,Louisville,59,3,,
Zach Williamson,OT,Huntington,WV,6'6'',270,79.0,Louisville,51,,,2019,Louisville,259,9,,
Aidan Robbins,ATH,Louisville,KY,6'3'',225,79.0,Louisville,24,,,2019,Louisville,274,87,,
Renato Brown,OG,Wellington,FL,6'3'',310,79.0,Louisville,51,,,2019,Louisville,,,,
Jamel Starks,CB,Decatur,GA,5'6'',174,78.0,Louisville,56,,,2019,Louisville,,,,
Allen Smith,OLB,Loganville,GA,6'2'',205,78.0,Louisville,3,,,2019,Louisville,,,,
Monty Montgomery,ILB,Norcross,GA,5'11'',220,78.0,Louisville,62,,,2019,Louisville,337,24,,
Zach Edwards,OLB,Starkville,MS,6'2'',220,78.0,Louisville,73,,,2019,Louisville,,,,
Jalen Mitchell,RB,Rockledge,FL,5'11'',201,76.0,Louisville,30,,,2019,Louisville,507,167,,
Dorian Jones,ILB,Plantation,FL,5'11'',221,76.0,Louisville,72,,,2019,Louisville,556,123,,
Joshua Black,OG,Stone Mountain,GA,6'3'',270,75.0,Louisville,55,,,2019,Louisville,783,165,,
Evan Conley,QB-PP,Marietta,GA,6'1'',197,71.0,Louisville,17,,,2019,Louisville,202,72,,
Jackson Gregory,OC,Westlake,OH,6'3'',290,71.0,Louisville,168,,,2019,Louisville,270,40,,
Dez Melton,ATH,Glendale,AZ,6'4'',208,70.0,Louisville,,,,2019,Louisville,,,,
Ean Pfeifer,OT,Bentonville,AR,6'4'',300,,Louisville,,,,2019,Louisville, None, None,,
T.J. McCoy,OG,Clermont,FL,6'1'',305,,Louisville,,,,2019,Louisville,,,,
Ja'Darien Boykin,DE,Gray,GA,6'1'',238.0,83,Louisville,3,,18,2020,Louisville,,,3.0,
Trevor Reid,OT,Griffin,GA,6'5'',265.0,80,Louisville,24,207,73,2020,Louisville,,,,
Lovie Jenkins,SOcoee,FL,6'0'',180,,Louisville,,26,,,2020,Louisville,,,79.0,
Kobe Baynes,OG,Jacksonville,FL,6'3'',300.0,79,Louisville,60,,,2020,Louisville,,,,
Timothy Lawson,OT,Fort Washington,MD,6'5'',280.0,78,Louisville,,,,2020,Louisville,,,,
Jamel Starks,CB,Decatur,GA,5'10'',180.0,78,Louisville,43,,,2020,Louisville,,,,
Jared Dawson,DT,Collierville,TN,6'2'',260.0,78,Louisville,9,,,2020,Louisville,,,,
Braden Smith,WR,Flowood,MS,5'10'',180.0,77,Louisville,32,288,68,2020,Louisville,,,,
Tee Webb,QB,Cartersville,GA,6'4'',183.0,77,Louisville,56,,,2020,Louisville,,,,
Kameron Wilson,OLB,Jonesboro,GA,6'1'',205.0,77,Louisville,12,,,2020,Louisville,,,,
Yaya Diaby,DE,Atlanta,GA,6'4'',255.0,77,Louisville,8,,,2020,Louisville,,,,
Marvin Dallas,OLB,Milledgeville,GA,6'1'',185.0,77,Louisville,48,,,2020,Louisville,,,,
Zay Peterson,S,Bradenton,FL,6'1'',190.0,76,Louisville,57,369,,2020,Louisville,,,,
Henry Bryant,DT,Delray Beach,FL,5'11'',268.0,76,Louisville,64,,,2020,Louisville,,,,
Jamie Vance,CB,New Orleans,LA,5'10'',155.0,76,Louisville,68,,,2020,Louisville,,,,
Dexter Rentz Jr,ATH,Ocoee,FL,5'11'',175.0,76,Louisville,61,,,2020,Louisville,,,,
Josh Minkins Jr,S,Louisville,KY,6'3'',185.0,75,Louisville,166,110,22,2020,Louisville,,,,
Christian Fitzpatrick,WR,Waterford,MI,6'3'',200.0,75,Louisville,75,,,2020,Louisville,,,,
Luke Kandra,OG,Cincinnati,OH,6'4'',290.0,75,Louisville,97,,,2020,Louisville,,,,
Duane Martin,ATH,Laurens,SC,6'1'',230.0,74,Louisville,,,,2020,Louisville,,,,
Nick Malito,WR,Girard,OH,6'2'',205.0,74,Louisville,89,613,136,2020,Louisville,,,,
Dezmond Tell,DT,Hampton,GA,6'1'',270.0,74,Louisville,16,643,144,2020,Louisville,,,,
Brock Travelstead,K,Dallas,GA,6'1'',190.0,74,Louisville,165,,,2020,Louisville,,,,
Austin Collins,DE,Louisville,KY,6'4'',260.0,73,Louisville,132,,,2020,Louisville,,,,
Jordan Watkins,ATH,Louisville,KY,6'0'',180.0,73,Louisville,197,831,176,2020,Louisville,,,,
Desmond Daniels,DE,Fairburn,GA,6'4'',220.0,72,Louisville,162,862,67,2020,Louisville,,,,
Marqui Lowery,CB,Charlotte,NC,6'0'',165.0,72,Louisville,,,,2020,Louisville,,,,
"T.J. Capers,OLB,Miami,FL,6'3'',230,86,Louisville",,,,,,,,,,,2023,Louisville,,,,
