Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School  
Ishmael Thomas,OLB,Detroit,MI,6'4'',205,77,Indiana,57,,,2010,Indiana, NR, NR,,
Logan Young,WR,Muncie,IN,6'5'',190,76,Indiana,,,,2010,Indiana,,,,
Matt Zakrzewski,OLB,Traverse City,MI,6'3'',220,76,Indiana,,,,2010,Indiana,,,,
Jack Denton,ATH,Zionsville,IN,6'2'',235,76,Indiana,121,,,2010,Indiana,,,,
Kofi Hughes,ATH,Indianapolis,IN,6'1'',191,76,Indiana,124,,,2010,Indiana, NR, NR,,
Ryan Phillis,DE,Youngstown,OH,6'3'',235,75,Indiana,98,,,2010,Indiana,,,,
Paul Phillips,TE,Bethesda,MD,6'5'',217,75,Indiana,39,,,2010,Indiana,,,,
Cameron Cole,CB,Cincinnati,OH,5'11'',169,75,Indiana,,,,2010,Indiana, None, None,,
Leneil Himes,TE,Plymouth,IN,6'3'',245,74,Indiana,74.0,,,2010,Indiana,,,,
Pete Bachman,OT,Cincinnati,OH,6'5'',245,74,Indiana,,,,2010,Indiana,,,,
Matt Perez,RB,Park Ridge,IL,6'0'',197,74,Indiana,138,,,2010,Indiana, NR, NR,,
Chase Hoobler,ILB,Orrville,OH,6'2'',220,74,Indiana,74,,,2010,Indiana,64, None,,
Antonio Banks,RB,Middletown,OH,5'10'',200,73,Indiana,,,,2010,Indiana,,,,
Bill Ivan,OG,Charlevoix,MI,6'4'',250,73,Indiana,,,,2010,Indiana,,,,
Xavier Whitaker,FB,Brookfield,WI,6'2'',195,72,Indiana,14,,,2010,Indiana, None, None,,
Tim O'Connor,WR,Cincinnati,OH,6'3'',190,72,Indiana,,,,2010,Indiana,,,,
Marlandez Harris,DE,Springfield,IL,6'4'',255,72,Indiana,199,,,2010,Indiana,,,,
Harrison Scott,DE,New Albany,OH,6'3'',240,69,Indiana,NR,,,2010,Indiana, NR, NR,,
Drew Hardin,S,Louisville,KY,6'0'',180,NR,Indiana,,,,2010,Indiana,,,,
Cody Evers,OG,Little Chute,WI,6'4'',320,NR,Indiana,,,,2010,Indiana,,,,
Brian Williams,S,Suwanee,GA,6'0'',175,NR,Indiana,,,,2010,Indiana,,,,
Shaquille Jefferson,S,Lexington,OH,6'0'',190,NR,Indiana,,,,2010,Indiana,,,,
Shane Wynn,ATH,Cleveland,OH,5'6'',150,Indiana,,41,44,16,2011,Indiana,,,79,
D'Angelo Roberts,RB,Bloomington,IN,5'9'',180,Indiana,,41,,,2011,Indiana,,,77,
Jake Reed,TE,Columbus,IN,6'4'',230,Indiana,,104,121,NR,2011,Indiana,,,77,
Tre Roberson,ATH,Indianapolis,IN,6'0'',170,Indiana,,51,,,2011,Indiana,,,76,
Bernard Taylor,OG,Macomb,MI,6'2'',275,Indiana,,132,,,2011,Indiana,,,76,
Zack Shaw,OLB,Coshocton,OH,6'4'',216,Indiana,,95,,,2011,Indiana,,,76,
Kyle Kennedy,OLB,Indianapolis,IN,6'2'',200,Indiana,,117,160,NR,2011,Indiana,,,76,
Peyton Eckert,OT,Mount Prospect,IL,6'5'',280,Indiana,,166,,,2011,Indiana,,,75,
Mark Murphy,SAkron,OH,6'1'',200,75,,,141,,,2011,Indiana,,,Indiana,
Jay McCants,WR,Cincinnati,OH,6'4'',200,Indiana,,103,559,,2011,Indiana,,,75,
Forisse Hardin,S,Louisville,KY,6'0'',195,Indiana,,88,,,2011,Indiana,,,74,
Ralston Evans,OG,Indianapolis,IN,6'3'',260,Indiana,,107,209,,2011,Indiana,,,74,
Nick Stoner,S,Greenwood,IN,6'1'',184,Indiana,,81,596,51,2011,Indiana,,,74,
Michael Hunter,CB,West Monroe,LA,6'0'',165,Indiana,,,,,2011,Indiana,,,74,
Ken Mullen,CB,Fort Wayne,IN,5'10'',160,Indiana,,57,229,100,2011,Indiana,,,74,
Mike Replogle,ILB,Centerville,OH,6'2'',210,Indiana,,180,,,2011,Indiana,,,74,
Cody Latimer,WR,Dayton,OH,6'2'',200,Indiana,,216,,,2011,Indiana,,,73,
Adarius Rayner,DT,Largo,FL,6'2'',250,Indiana,,180,,,2011,Indiana,,,NR,
Gregory Lewis,OT,Hollywood,FL,6'5'',300,Indiana,,,,,2011,Indiana,,,NR,
Bobby Richardson,DT,Tampa,FL,6'3'',265,Indiana,,,NR,NR,2011,Indiana,,,NR,
David Kaminski,OT,Strongsville,OH,6'4'',275,Indiana,,,,,2011,Indiana,,,NR,
