Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Deauntay Legrier,FB,Rochelle,GA,6'1'',240,Not Rated,Western Michigan,,,,,2008,Western Michigan,, None, None
Kyle Lackner,ILB,Naperville,IL,6'4'',228,Not Rated,Western Michigan,,NR,,,2008,Western Michigan,,,
Sam Jaeger,OT,Westville,IN,6'5'',320,Not Rated,Western Michigan,,,,,2008,Western Michigan,, None, None
Lawrence Henning,OLB,Chicago,IL,6'2'',205,Not Rated,Western Michigan,,NR,,,2008,Western Michigan,,,
Blake Hammond,TE,Frankfort,IL,6'4'',233,Not Rated,Western Michigan,,NR,,,2008,Western Michigan,,,
Kevin Galeher,OT,Chicago,IL,6'4'',305,76,Western Michigan,,56,,,2008,Western Michigan,, None, None
Kelly Dawsey,CB,Valdosta,GA,6'0'',175,Not Rated,Western Michigan,,,,,2008,Western Michigan,,,
Alex Carder,QB,Shawnee,KS,6'2'',188,73,Western Michigan,,,,,2008,Western Michigan,, None, None
Ryan Byrne,DT,Woodstock,GA,6'0'',270,Not Rated,Western Michigan,,NR,,,2008,Western Michigan,,,
Freddie Bishop,DE,Carleton,MI,6'4'',240,Not Rated,Western Michigan,,,,,2008,Western Michigan,,,
Jamail Berry,S,Coffeyville,KS,6'0'',200,Not Rated,Western Michigan,,,,,2008,Western Michigan,, None, None
Mark Zielinski,OT,Winnetka,IL,6'4'',320,78.0,Western Michigan,,31,,,2009,Western Michigan,, None, None
Greg Peterson,OT,Waukesha,WI,6'5'',255,76.0,Western Michigan,,76,,,2009,Western Michigan,,,
Josh Hadel,OG,Gladstone,MI,6'6'',275,75.0,Western Michigan,,,,,2009,Western Michigan,, None, None
Ben Samson,OT,Lincolnshire,IL,6'6'',310,75.0,Western Michigan,,,,,2009,Western Michigan,,86, None
Josh Schaffer,WR,Naperville,IL,6'2'',185,74.0,Western Michigan,,141,,,2009,Western Michigan,,,
Brian Fields,RB,New Castle,DE,5'9'',190,73.0,Western Michigan,,142,,,2009,Western Michigan,,,
Christopher Blair,TE,Grand Rapids,MI,6'4'',217,72.0,Western Michigan,,100,,,2009,Western Michigan,,,
Antoin Scriven,RB,Inverness,FL,6'1'',190,72.0,Western Michigan,,72,,,2009,Western Michigan,,648,237
Trey Smith,WR,Perry,GA,6'5'',200,71.0,Western Michigan,,189,,,2009,Western Michigan,,672,135
David Box,DT,Milan,MI,6'2'',265,70.0,Western Michigan,,127,,,2009,Western Michigan,, NR, NR
Tyler Van Tubbergen,QB,Holland,MI,6'4'',190,70.0,Western Michigan,,NR,,,2009,Western Michigan,,,
James Sandlin,DT,Tuscaloosa,AL,6'2'',275,69.0,Western Michigan,,137,,,2009,Western Michigan,,,
Lewis Toler,CB,New Castle,DE,5'11'',171,,Western Michigan,,,,,2009,Western Michigan,, None, None
Jamal Gray,WR,Harvey,IL,6'3'',190,,Western Michigan,,NR,,,2009,Western Michigan,, NR, NR
Parris Lee,RB,Neptune Beach,FL,5'8'',170,,Western Michigan,,,,,2009,Western Michigan,, None, None
Kyle Lark,ILB,Alma,MI,6'1'',225,,Western Michigan,,,,,2009,Western Michigan,,,
Clark Mussman,TE,Portage,IN,6'3'',245,,Western Michigan,,NR,,,2009,Western Michigan,,,
Terry Davisson,OT,Rensselaer,IN,6'6'',260,,Western Michigan,,NR,,,2009,Western Michigan,,,
Paul Hazel,DE,Miami,FL,6'6'',230,,Western Michigan,,,,,2009,Western Michigan,,,
Damond Smith,CB,Inkster,MI,6'0'',175,,Western Michigan,,NR,,,2009,Western Michigan,,,
Tronic Williams,WR,Fort Myers,FL,6'2'',175,,Western Michigan,,,,,2009,Western Michigan,,,
Ansel Ponder,WR,Bluefield,WV,6'3'',190,,Western Michigan,,,,,2009,Western Michigan,,,
Jermaine Vereen,CB,Conway,SC,5'9'',180,,Western Michigan,,,,,2009,Western Michigan,,,
Corey Sueing,DE,Grand Rapids,MI,6'3'',230,,Western Michigan,,,,,2009,Western Michigan,,,
Chleb Ravenell,WR,Mount Pleasant,SC,6'2'',190,,Western Michigan,,NR,,,2009,Western Michigan,, NR, NR
