Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Hunter Broersma,ATH,Muskegon,MI,,6'1'',185.0,67,,NR,,,2016,Western Michigan,Western Michigan,,
Ron George,OLB,Reading,PA,,6'1'',195.0,,,,,,2016,Western Michigan,Western Michigan,,
Darece Roberson,ATH,North Shores,MI,5'8'',160.0,,Western Michigan,,,,,2016,Western Michigan,,,
Jaylon Moore,OT,Detroit,MI,,6'4'',260.0,,,NR,,,2016,Western Michigan,Western Michigan, NR,
Mark Brooks,OT,Portland,MI,,6'6'',260.0,,,,,,2016,Western Michigan,Western Michigan,,
Jared Culp,OLB,New Carlisle,IN,,6'2'',200.0,,,,,,2016,Western Michigan,Western Michigan,,
Mitchell Heimbuch,TEH,Romeo,MI,,6'2'',220.0,,,,,,2016,Western Michigan,Western Michigan,,
Rodney Graves,WR,Detroit,MI,,6'2'',180.0,,,,,,2016,Western Michigan,Western Michigan,,
Jaylen Brown,S,Houston,TX,,6'1'',205.0,,,,,,2016,Western Michigan,Western Michigan, None, None
Ken Aguirre,DT,Joliet,IL,,6'2'',285.0,,,NR,,,2016,Western Michigan,Western Michigan,,NR
Brad Tanner,WR,Romeo,MI,,6'1'',185.0,,,,,,2016,Western Michigan,Western Michigan, None, None
Kailen Guillory,DE,Indianapolis,IN,,6'4'',240.0,,,,,,2016,Western Michigan,Western Michigan,,
Brandon Honorable,OT,Detroit,MI,6'6'',280,76.0,Western Michigan,,72,,,2021,Western Michigan,,97,21
Elijah Hawk,DE,Pickerington,OH,6'4'',235,74.0,Western Michigan,,,,,2021,Western Michigan,, None, None
Jaali Parker,ATH,Chicago,IL,6'0'',185,73.0,Western Michigan,,122,,,2021,Western Michigan,,192,34
Carson Briggs,OT,Flint,MI,6'5'',270,73.0,Western Michigan,,141,,,2021,Western Michigan,,211,46
Naahlyee Bryant,OLB,Oak Park,MI,6'2'',200,73.0,Western Michigan,,154,,,2021,Western Michigan,,,
Dalton Dueweke,OG,Shelby Township,MI,6'4'',270,73.0,Western Michigan,,104,,,2021,Western Michigan,,,
Corey Walker,TE-Y,Normal,IL,6'5'',240,72.0,Western Michigan,,229,,,2021,Western Michigan,,61,45
Zach Vode,ATH,Hobart,IN,6'3'',205,72.0,Western Michigan,,155,,,2021,Western Michigan,,235,24
Joshua Nobles,DE,Camden,NJ,6'3'',240,72.0,Western Michigan,,196,,,2021,Western Michigan,,229,35
Henry Wilson,ATH,Chicago,IL,6'0'',180,72.0,Western Michigan,,160,,,2021,Western Michigan,,248,50
Calvin Muraski,OT,Green Bay,WI,6'7'',260,72.0,Western Michigan,,164,,,2021,Western Michigan,,251,13
John Hofer,OT,Valparaiso,IN,6'6'',300,71.0,Western Michigan,,174,,,2021,Western Michigan,,260,25
Jelani Willis,ATH,Memphis,TN,6'2'',200,71.0,Western Michigan,,167,,,2021,Western Michigan,,,
Zahir Abdus-Salaam,RB,Union City,NJ,5'9'',180,71.0,Western Michigan,,145,,,2021,Western Michigan,,,
Aaron Wofford,ATH,Burbank,IL,6'1'',165,70.0,Western Michigan,,183,,,2021,Western Michigan,,292,61
Mareyohn Hrabowski,QB-DT,River Rouge,MI,6'4'',205,70.0,Western Michigan,,50,,,2021,Western Michigan,,,
Tyson Lee,DE,South Bend,IN,6'3'',235,70.0,Western Michigan,,235,,,2021,Western Michigan,,,
Kadinn Morris,TE-H,Springfield,IL,6'3'',225,69.0,Western Michigan,,47,,,2021,Western Michigan,,316,66
Tyren Mason,WR,Elkhart,IN,6'0'',175,69.0,Western Michigan,,313,,,2021,Western Michigan,,325,35
Malique Dieudonne,WR,Naples,FL,6'1'',175,,Western Michigan,,,,,2021,Western Michigan,,,
Id Kaba,DT,Columbus,OH,6'3'',265,74,Western Michigan,,104,153,48,2023,Western Michigan,,,
Logan Lester,WR,Chicago,IL,6'2'',195,73,Western Michigan,,229,,,2023,Western Michigan,,,
Lorenzo Williams Jr.,CB,West Bloomfield,MI,6'1'',180,73,Western Michigan,,150,168,23,2023,Western Michigan,,,
C.J. Hester,RB,Wyoming,OH,5'11'',185,73,Western Michigan,,115,170,54,2023,Western Michigan,,,
Angelo Stockstill,ATH,Chicago,IL,6'3'',175,71,Western Michigan,,141,,,2023,Western Michigan,,,
Jack Parker,TE-Y,Wilmette,IL,6'5'',235,70,Western Michigan,,49,,,2023,Western Michigan,,,
Tony Martin,ATH,Pahokee,FL,5'10'',170,70,Western Michigan,,143,769,269,2023,Western Michigan,,,
Marcus Woodley,OLB,Homestead,FL,6'2'',210,NR,Western Michigan,,NR,NR,NR,2023,Western Michigan,,,
Brennan Wooten,TE-H,Indianapolis,IN,6'4'',225,NR,Western Michigan,,NR,NR,NR,2023,Western Michigan,,,
Razah Townsend,DE,Kentwood,MI,6'2'',230,NR,Western Michigan,,,,,2023,Western Michigan,,,
Anthony Leadford,S,Indianapolis,IN,6'1'',185,NR,Western Michigan,,,,,2023,Western Michigan,,,
Luke Zanotti,OG,Bay City,MI,6'4'',285,NR,Western Michigan,,NR,NR,NR,2023,Western Michigan,,,
Joshua Franklin,ATH,Crete,IL,6'0'',175,NR,Western Michigan,,,,,2023,Western Michigan,,,
Dalton Gustwiller,DT,Kettering,OH,6'4'',280,NR,Western Michigan,,,,,2023,Western Michigan,,,
Tre' Hartwell,RB,Thompson's Station,TN,6'0'',220,NR,Western Michigan,,,,,2023,Western Michigan,,,
Jacobe Oglesby,S,Detroit,MI,6'1'',195,NR,Western Michigan,,NR,,,2023,Western Michigan,,,
Joey Pope,WR,Glen Ellyn,IL,5'11'',165,NR,Western Michigan,,,,,2023,Western Michigan,,,
Isaiah Green,DT (JC),Saint Cloud,MN,6'3'',300,NR,Western Michigan,,,,,2023,Western Michigan,,,
