Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Rob Burns,DE,Ashburn,VA,6'7'',230,77,,Virginia,80,,,2011,Virginia,,
Adrian Gamble,WR,Charlotte,NC,6'1'',180,77,,Virginia,77,129, NR,2011,Virginia,,
Jay Whitmire,OT,Alexandria,VA,6'6'',290,77,,Virginia,70,,,2011,Virginia,,
D.J. Hill,OLB,Covington,GA,6'0'',210,77,,Virginia,81,,,2011,Virginia,,
Daquan Romero,DE,Hampton,VA,6'0'',212,77,,Virginia,99,,,2011,Virginia,,
David Watford,QB,Hampton,VA,6'1'',180,76,,Virginia,58,156,22,2011,Virginia,,
Ross Burbank,OT,Virginia Beach,VA,6'4'',275,76,,Virginia,87,169,23,2011,Virginia,,
Caleb Taylor,ILB,Hampton,VA,5'11'',225,75,,Virginia,42,,,2011,Virginia,,
Kameron Mack,S,Portsmouth,VA,6'4'',200,75,,Virginia,189,80,31,2011,Virginia,,
Kyrell Latimer,S,Hyattsville,MD,5'10'',200,75,,Virginia,130,220,25,2011,Virginia,,
Kelby Johnson,OT,Hyattsville,MD,6'7'',285,75,,Virginia,142,248,39,2011,Virginia,,
Tim Cwalina,OT,Pittsburgh,PA,6'6'',280,74,,Virginia,155,,,2011,Virginia,,
Kevin Green,ATH,Petersburg,VA,6'2'',205,74,,Virginia,203,,,2011,Virginia,,
Anthony Harris,ATH,Chesterfield,VA,6'1'',185,72,,Virginia,272,393,70,2011,Virginia,,
Mason Thomas,WR,Virginia Beach,VA,6'0'',195,63,,Virginia,,,,2011,Virginia,,
Eli Harold,DE,Virginia Beach,VA,6'4'',220,,80,Virginia,15,16,4,2012,Virginia,,
Kwontie Moore,ILB,Norfolk,VA,6'1'',232,,80,Virginia,7,20,5,2012,Virginia,,
Michael Moore,DE,Hyattsville,MD,6'4'',255,,79,Virginia,35,,,2012,Virginia,,
Demeitre Brim,ATH,Lakeland,FL,6'2'',188,,79,Virginia,,,,2012,Virginia,,
Greyson Lambert,QB,Jesup,GA,6'4'',208,,78,Virginia,37,,,2012,Virginia,,
Anthony Cooper,WR,Virginia Beach,VA,5'11'',178,,78,Virginia,72,61,11,2012,Virginia,,
Michael Mooney,OT,Malvern,PA,6'5'',265,,78,Virginia,, None, None,2012,Virginia,,
Andre Miles-Redmond,OG,Richmond,VA,6'3'',260,,78,Virginia,42,,,2012,Virginia,,
Sean Karl,OT,Manorville,NY,6'6'',284,,78,Virginia,77,,,2012,Virginia,,
Tyrell Chavis,OG,Richmond,VA,6'3'',300,,78,Virginia,48,,,2012,Virginia,,
Courtnye Wynn,DE,Norfolk,VA,6'5'',245,,77,Virginia,85,89,20,2012,Virginia,,
Max Valles,DE,Hammonton,NJ,6'4'',210,,77,Virginia,104, None,22,2012,Virginia,,
Adrian Gamble,WR,Charlotte,NC,6'1'',185,,77,Virginia,, None, None,2012,Virginia,,
Canaan Severin,ATH,Worcester,MA,6'2'',210,,77,Virginia,, None, None,2012,Virginia,,
Jamall Brown,WR,Hampton,VA,6'0'',180,,76,Virginia,, None, None,2012,Virginia,,
Mario Nixon,TE,Norfolk,VA,6'5'',215,,75,Virginia,56,,,2012,Virginia,,
Matt Johns,QB,Warrington,PA,6'4'',195,,75,Virginia,, None, None,2012,Virginia,,
C.J. Moore,CB,Buford,GA,5'9'',165,,75,Virginia,537,,,2012,Virginia,,
Ryan Doull,OG,Kanata,Ontario,6'3'',305,,75,Virginia,, None, None,2012,Virginia,,
Wilfred Wahee,ATH,Norfolk,VA,5'10'',170,,75,Virginia,121,161,34,2012,Virginia,,
Kyle Dockins,ATH,Virginia Beach,VA,6'3'',205,,75,Virginia,131,170,36,2012,Virginia,,
Kye Morgan,ATH,Somerset,NJ,5'10'',175,,75,Virginia,155,206,37,2012,Virginia,,
Maurice Canady,WR,Richmond,VA,6'1'',180,,74,Virginia,, None, None,2012,Virginia,,
Kelvin Rainey,S,Houston,TX,6'0'',175,,73,Virginia,142,,,2012,Virginia,,
Mark Hall,OLB,Virginia Beach,VA,6'2'',210,,73,Virginia,133,250,53,2012,Virginia,,
Divante Walker,RB,Virginia Beach,VA,5'10'',157,,71,Virginia,185,,,2012,Virginia,,
A.J. Morosco,ILB,Daytona Beach,FL,6'1'',225.0,,70.0,Air Force,,,,2013,Virginia,,
Nick Lind,RB,Highlands Ranch,CO,5'10'',205.0,,62.0,Air Force,,,,2013,Virginia,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,55.0,Virginia,,,,2013,Virginia,,
Brett Skene,WR,Denver,CO,6'1'',190.0,,78.0,Virginia,,,,2013,Virginia,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,Virginia,,,,2013,Virginia,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,64.0,Virginia,,,,2013,Virginia,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,Virginia,,,,2013,Virginia,,
