Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Chandler Zavala,OG (TR),Fairmont,WV,6'4'',325,TR,,,,,2021,North Carolina State,,,,,NC State  ,
Derrek Pitts,DT (TR),Newberry,FL,6'5'',315,TR,,,,,2021,North Carolina State,,,,,NC State  ,
Cory Durden,DT (TR),Newberry,FL,6'5'',315,TR,,,,,2021,North Carolina State, None, None,,,NC State,
Michael Allen,ATH,Greenville,NC,5'10'',180,81.0,NC State,20,,,2022,North Carolina State,104,,,,,7
Brandon Cleveland,DT,Tampa,FL,6'2'',260,80.0,NC State,26,,,2022,North Carolina State,130,,,,,
Torren Wright,OLB,Kannapolis,NC,6'3'',210,80.0,NC State,31,,,2022,North Carolina State,,,,,,
Jacarrius Peak,OG,Valdosta,GA,6'4'',310,78.0,NC State,25,,,2022,North Carolina State,271,,,,,
M.J. Morris,QB-DT,Carrollton,GA,6'1'',180,78.0,NC State,18,,,2022,North Carolina State,,,,,,
Nick Campbell,DT,Minneola,FL,6'3'',250,78.0,NC State,58,,,2022,North Carolina State,335,,,,,
Daejuan Thompson,OLB,Whiteville,NC,6'2'',185,77.0,NC State,62,,,2022,North Carolina State,,,,,,
Isaiah Crowell,CB,Kernersville,NC,6'0'',180,77.0,NC State,84,,,2022,North Carolina State,,,,,,
Jackson Vick,CB,Bailey,NC,5'11'',165,76.0,NC State,98,,,2022,North Carolina State,,,,,,
Bennett Galloway,RB,Chapin,SC,5'10'',190,76.0,NC State,,,,2022,North Carolina State, None,,,,,
Davin Jackson,DE,Sumter,SC,6'2'',250,76.0,NC State,104,,,2022,North Carolina State,509,,,,,
Rylan Vann,OC,Cary,NC,6'1'',280,75.0,NC State,12,,,2022,North Carolina State,559,,,,,
Terrell Timmons,WR,Greensboro,NC,6'1'',180,75.0,NC State,174,,,2022,North Carolina State,571,,,,,
Darryl Jones,WR,Virginia Beach,VA,6'2'',200,,NC State,,,,2022,North Carolina State, None,,,,,
Javonte Vereen,TE-H,Havelock,NC,6'4'',210,NC State,,9,,,2023,North Carolina State,141,10,81.0,,,
Kendrick Raphael,RB,Naples,FL,5'10'',190,NC State,,21,,,2023,North Carolina State,149,62,80.0,,,
Daemon Fagan,CB,Plantation,FL,,6'3'',80,NC State,43,,,2023,North Carolina State,,,170.0,,,
Jykeveous Hibbler,DE (JC),Senatobia,MS,6'2'',260,NC State,,1,,,2023,North Carolina State,,,80.0,,,
Darion Rivers,OT,Charlotte,NC,6'6'',260,NC State,,38,,,2023,North Carolina State,197,14,79.0,,,
Zack Myers,WR,Arden,NC,6'0'',195,NC State,,60,,,2023,North Carolina State,244,19,79.0,,,
Bishop Fitzgerald,S (JC),Dale City,VA,6'0'',195,NC State,,,,,2023,North Carolina State, None, None,78.0,,,
Lex Thomas,QB-DT,Wake Forest,NC,5'11'',180,NC State,,14,,,2023,North Carolina State,264,22,78.0,,,
Terrente Hinton,CB (JC),Saraland,AL,6'2'',190,NC State,,4,,,2023,North Carolina State, NR,15,78.0,,,
Rohan Davy,S,Washington,DC,5'9'',195,NC State,,,,,2023,North Carolina State, None, None,78.0,,,
Kamen Smith,OT,Wilkesboro,NC,6'4'',275,NC State,,76,,,2023,North Carolina State,381,25,77.0,,,
Kevin Concepcion,WR,Charlotte,NC,6'0'',170,NC State,,130,,,2023,North Carolina State,385,26,77.0,,,
Isaiah Shirley,DE,Boone,NC,6'4'',235,NC State,,112,,,2023,North Carolina State,397,27,77.0,,,
Brandon Cisse,CB,Sumter,SC,6'0'',170,NC State,,108,,,2023,North Carolina State,475,19,76.0,,,
Kamal Bonner,S,Moultrie,GA,6'1'',200,NC State,,118,,,2023,North Carolina State,563,136,75.0,,,
OBadiah Obasuyi,OT,Alpharetta,GA,6'6'',275,NC State,,122,,,2023,North Carolina State,641,153,74.0,,,
Kelvon McBride,ATH,Mobile,AL,6'3'',210,NC State,,133,,,2023,North Carolina State,685,58,73.0,,,
Rico Jackson,OG,Fort Lauderdale,FL,6'4'',295,NC State,,105,,,2023,North Carolina State,,,73.0,,,
Brennan Armstrong,QB-DT (TR),Shelby,OH,6'2'',210,NC State,,,,,2023,North Carolina State,,,,,,
Dacari Collins,WR (TR),Atlanta,GA,6'4'',210,NC State,,,,,2023,North Carolina State,,,,,,
Dawson Jaramillo,OT (TR),Portland,OR,6'5'',300,NC State,,,,,2023,North Carolina State,,,,,,
Robert Kennedy III,S (TR),Jeannette,PA,5'10'',185,NC State,,,,,2023,North Carolina State, None, None,,,,
Noah Potter,DE (TR),Mentor,OH,6'6'',270,NC State,,,,,2023,North Carolina State,,,,,,
Jonathan Paylor,ATH,Burlington,NC,5'10'',175,84,NC State,3,,,2024,North Carolina State,37,1,,,,
Jimmar Boston,WR,Anderson,SC,6'0'',180,81,NC State,39,,,2024,North Carolina State,137,6,,,,
Terrell Anderson,WR,Greensboro,NC,6'3'',190,80,NC State,41,,,2024,North Carolina State,,,,,,
Elijah Groves,OLB,Cross Plains,TN,6'3'',210,80,NC State,21,,,2024,North Carolina State,149,7,,,,
Ronnie Royal III,ATH,Gulf Shores,AL,5'9'',175,80,NC State,29,,,2024,North Carolina State,,,,,,
Cedrick Bailey,QB-PP,Hollywood,FL,6'6'',190,79,NC State,20,,,2024,North Carolina State,194,57,,,,
Brody Barnhardt,S,Charlotte,NC,6'0'',185,79,NC State,32,,,2024,North Carolina State,,,,,,
Robby Martin,OG,Huntington,WV,6'4'',285,79,NC State,27,,,2024,North Carolina State,66,1,,,,
Asaad Brown,CB,Chesapeake,VA,6'0'',180,79,NC State,52,,,2024,North Carolina State,70,9,,,,
Joshua Ofor,OLB,Jonesboro,GA,6'2'',210,77,NC State,59,,,2024,North Carolina State,374,98,,,,
Jayden Scott,RB,Stockbridge,GA,5'10'',205,77,NC State,63,,,2024,North Carolina State,385,100,,,,
Christian Zachary,WR,Saint Matthews,SC,6'2'',185,77,NC State,126,,,2024,North Carolina State,439,,,,,
Justin Terrell,DT,Rome,GA,6'2'',280,77,NC State,62,,,2024,North Carolina State,,,,,,
Tyler West,OT,Andrews,NC,6'4'',270,77,NC State,95,,,2024,North Carolina State,,,,,,
Trent Mitchell,OT,Gastonia,NC,6'5'',290,76,NC State,110,,,2024,North Carolina State,483,34,,,,
Jivan Baly,CB,Norcross,GA,6'0'',170,76,NC State,109,,,2024,North Carolina State,489,127,,,,
Joshua Alexander-Felton,DE,Orlando,FL,6'4'',255,76,NC State,114,,,2024,North Carolina State,528,160,,,,
Keenan Jackson,WR,Waxhaw,NC,6'2'',185,76,NC State,154,,,2024,North Carolina State,,,,,,
Isiah Jones,RB,Rolesville,NC,5'8'',190,76,NC State,547,,,2024,North Carolina State,,,,,,
Chase Bond,DT,Massillon,OH,6'3'',260,75,NC State,84,,,2024,North Carolina State,170,60,,,,
Cannon Lewis,ILB,Ona,WV,6'2'',215,74,NC State,63,,,2024,North Carolina State,206,4,,,,
Wyatt Wright,ILB,Perkinston,MS,6'2'',220,74,NC State,3,,,2024,North Carolina State, None, None,,,,
Zane Williams,ILB,Wake Forest,NC,5'11'',210,73,NC State,74,,,2024,North Carolina State,809,60,,,,
Dante Daniels,TE-Y,El Dorado,KS,6'5'',260,69,NC State,4,,,2024,North Carolina State, NR, NR,,,,
Grayson McCall,QB-DT,Indian Trail,NC,6'3'',215,NC State,,,,,2024,North Carolina State,,,,,,
Wesley Grimes,WR,Raleigh,NC,6'2'',187,NC State,,,,,2024,North Carolina State,,,,,,
Zeke Correll,OC,Cincinnati,OH,6'3'',306,NC State,,,,,2024,North Carolina State, None, None,,,,
Valen Erickson,OT,Chicago,IL,6'5'',304,NC State,,,,,2024,North Carolina State,,,,,,
Justin Joly,TE-H,New Rochelle,NY,6'3'',215,NC State,,,,,2024,North Carolina State,,,,,,
Daylan Smothers,RB,Charlotte,NC,5'11'',182,NC State,,,,,2024,North Carolina State, None, None,,,,
Corey Coley,CB,Jacksonville,FL,6'2'',187,NC State,,,,,2024,North Carolina State,,,,,,
Tamarcus Cooley,S,Knightdale,NC,6'0'',196,NC State,,,,,2024,North Carolina State,,,,,,
Jordan Waters,RB,Lumberton,NC,6'0'',219,NC State,,,,,2024,North Carolina State,,,,,,
Noah Rogers,WR,Raleigh,NC,6'2'',201,NC State,,,,,2024,North Carolina State, None, None,,,,
Devon Marshall,CB,Hyde Park,MA,6'0'',200,NC State,,,,,2024,North Carolina State,,,,,,
Donovan Kaufman,S,New Orleans,LA,5'10'',204,NC State,,,,,2024,North Carolina State, None, None,,,,
Chazz Wallace,DT,Rockville,MD,6'2'',295,NC State,,,,,2024,North Carolina State,,,,,,
Kerry Martin Jr.,S,Charleston,WV,6'1'',195,NC State,,,,,2024,North Carolina State, None, None,,,,
Ja'Had Carter,S,Richmond,VA,6'1'',205,NC State,,,,,2024,North Carolina State,,,,,,
