Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Dontae Johnson,S,Pennington,NJ,6'3'',179,NC State,,22,,,2010,North Carolina State,,,78,,,
Torian Box,OG,North Clayton,GA,6'3'',295,NC State,,,,,2010,North Carolina State,,,78,,,
Anthony Creecy,ATH,Durham,NC,5'11'',197,NC State,,46,,,2010,North Carolina State,,,77,,,
Tyler Brosius,QB,Waynesville,NC,6'3'',228,NC State,,,,,2010,North Carolina State,,,77,,,
Bryan Underwood,WR,Cleveland,OH,5'9'',165,NC State,,,,,2010,North Carolina State,,,77,,,
Deion Roberson,DT,Tucker,GA,6'2'',280,NC State,,138,,,2010,North Carolina State,,,77,,,
Theodore Rich,DE,Portal,GA,6'3'',225,NC State,,,,,2010,North Carolina State,,,74,,,
A.J. Ferguson,DE,Southport,NC,6'3'',250,NC State,,,,,2010,North Carolina State,,,74,,,
Pete Singer,S,Hillsborough,NC,5'11'',172,NC State,,,,,2010,North Carolina State,,,74,,,
Tyson Chandler,OT,Fork Union,VA,6'6'',340,NC State,,175,,,2010,North Carolina State,,,73,,,
DeAnthony Green,S,Macon,GA,6'4'',198,NC State,,114,,,2010,North Carolina State,,,71,,,
Logan Winkles,ILB,Thomaston,GA,5'11'',241,NC State,,,,,2010,North Carolina State,,,67,,,
Andy Jomantas,OT,Dayton,OH,6'8'',255,NC State,,,,,2010,North Carolina State,,,NR,,,
Art Norman,DE,Chamblee,GA,6'1'',209,NC State,,,,,2010,North Carolina State,,,NR,,,
Tobias Palmer,ATH,Pittsboro,NC,5'10'',165,NC State,,,,,2010,North Carolina State,,,NR,,,
David Akinniyi,DE,Rocklin,CA,6'4'',250,NC State,,,,,2010,North Carolina State,,,TR,,,
Mikel Overgaard,OT,Weiser,ID,6'6'',270,NC State,,,,,2010,North Carolina State,,,NR,,,
Billy Bennett,K,Del Mar,CA,6'1'',190,NC State,,,,,2010,North Carolina State,,,NR,,,
Hakeem Flowers,WR,Greenville,SC,6'2'',179,NC State,,30,110,6,2011,North Carolina State,,,80,,,
Juston Burris,ATH,Raleigh,NC,6'0'',180,NC State,,67,84,NR,2011,North Carolina State,,,78,,,
Wil Baumann,K,Wilmington,NC,6'4'',185,NC State,,13,105,,2011,North Carolina State,,,78,,,
