Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
Nate Klatt,OC,Canal Fulton,OH,6'4'',286,Michigan State,,14,,,2009,Michigan State,75.0,,,
TyQuan Hammock,ILB,Fort Wayne,IN,6'1'',220,Michigan State,,45,,,2009,Michigan State,75.0,,,
Kevin Muma,K,Troy,MI,6'0'',170,Michigan State,,25,NR,NR,2009,Michigan State,75.0,,,
Patrick White,CB,Pickerington,OH,6'0'',175,Michigan State,,, None, None,2009,Michigan State,74.0,,,
Dan France,DE,North Royalton,OH,6'5'',260,Michigan State,,137, NR, NR,2009,Michigan State,73.0,,,
Dana Dixon,WR,Detroit,MI,6'3'',171,Michigan State,,,,,2009,Michigan State,73.0,,,
Denzel Drone,OLB,Plant City,FL,6'2'',225,Michigan State,,161,,,2009,Michigan State,68.0,,,
Derek Hoebing,DE,Vermilion,OH,6'5'',245,Michigan State,,208, NR, NR,2009,Michigan State,67.0,,,
Corey Freeman,DE,Cleveland,OH,6'3'',235,Michigan State,,,,,2009,Michigan State,,,,
Keith Nichol,QB,Lowell,MI,6'2'',204,Michigan State,,,,,2009,Michigan State,,,,
William Gholston,DE,Detroit,MI,6'7'',250,,Michigan State,3,,,2010,Michigan State,83.0, NR, 42nd,
Max Bullough,ILB,Traverse City,MI,6'3'',220,,Michigan State,4,,,2010,Michigan State,79.0,,,
Mike Sadler,K,Flint Hills,MI,6'1'',185,,Michigan State,5,,,2010,Michigan State,79.0,,,
Tony Lippett,WR,Detroit,MI,6'3'',179,,Michigan State,50,,,2010,Michigan State,78.0,,,
Marcus Rush,DE,Cincinnati,OH,6'2'',220,,Michigan State,55,,,2010,Michigan State,78.0, None, None,
Keith Mumphery,WR,Vienna,GA,6'0'',195,,Michigan State,55,,,2010,Michigan State,78.0,,,
Mylan Hicks,CB,Detroit,MI,5'11'',175,,Michigan State,24,,,2010,Michigan State,78.0,,,
Skyler Schofner,OT,Washington Court House,OH,6'6'',275,,Michigan State,40,,,2010,Michigan State,78.0,,,
Travis Jackson,OG,Columbus,OH,6'4'',250,,Michigan State,25,,,2010,Michigan State,77.0,,,
Kurtis Drummond,ATH,Hubbard,OH,6'2'',195,,Michigan State,,,,2010,Michigan State,77.0,,,
Isaiah Lewis,S,Indianapolis,IN,5'11'',190,,Michigan State,,,,2010,Michigan State,77.0,,,
Joe Boisture,QB,Saline,MI,6'6'',201,,Michigan State,,,,2010,Michigan State,77.0,,,
Taylor Calero,DE,Southfield,MI,6'3'',226,,Michigan State,,,,2010,Michigan State,76.0,,,
Michael Dennis,OT,Carey,OH,6'6'',260,,Michigan State,,,,2010,Michigan State,76.0,,,
Justin Wilson,OLB,Davie,FL,6'0'',217,,Michigan State,,,,2010,Michigan State,76.0,,,
Nick Hill,RB,Chelsea,MI,5'7'',179,,Michigan State,,,,2010,Michigan State,75.0,,,
Darqueze Dennard,WR,Jeffersonville,GA,5'11'',163,,Michigan State,166,,,2010,Michigan State,74.0,,,
Jeremy Langford,RB,Westland,MI,6'0'',185,,Michigan State,192,,,2010,Michigan State,71.0,,,
LeVeon Bell,RB,Groveport,OH,6'2'',209,,Michigan State,,,,2010,Michigan State,69.0,,,
Niko Palazeti,FB,Northville,MI,,240,Michigan State,,NR,,,2010,Michigan State,,NR,NR,
Anthony White,DT,Battle Creek,MI,6'3'',300,Michigan State,,NR,,,2010,Michigan State,,NR,NR,
Lawrence Thomas,ILB,Detroit,MI,6'3'',230,MICHIGAN STATE,,8,11, None,2011,Michigan State,80.0,,,
Juwan Caesar,WR,Miami,FL,6'4'',200,MICHIGAN STATE,,,,,2011,Michigan State,79.0,,,
Darien Harris,OLB,Hyattsville,MD,6'0'',210,MICHIGAN STATE,,32,58,7,2011,Michigan State,79.0,,,
Roger Williamson,ATH,Dayton,OH,6'1'',180,MICHIGAN STATE,,49,,,2011,Michigan State,78.0,,,
A.J. Sims,ATH,Snellville,GA,5'7'',156,MICHIGAN STATE,,, None, None,2011,Michigan State,78.0,,,
Jack Allen,OC,Hinsdale,IL,6'2'',265,MICHIGAN STATE,,10,,,2011,Michigan State,78.0,,,
Donavon Clark,OT,Cincinnati,OH,6'4'',295,MICHIGAN STATE,,46,,,2011,Michigan State,78.0,,,
