Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Austin Appleby,QB,North Canton,OH,6'4'',225,4,75.0,Purdue,171,76, None,2012,Purdue,,
Joey Warburg,OT,Louisville,KY,6'5'',250,4,75.0,Purdue,140,,,2012,Purdue,,
Aloyis Gray,QB,Indianapolis,IN,6'3'',175,4,74.0,Purdue,101,,,2012,Purdue,,
James Prince,OT,Southlake,TX,6'5'',270,4,74.0,Purdue,149,,,2012,Purdue,,
Jordan Woods,WR,Ann Arbor,MI,6'2'',170,4,74.0,Purdue,,,,2012,Purdue,,
Andy Garcia,OLB,Hialeah,FL,6'0'',200,4,73.0,Purdue,125,,,2012,Purdue,,
Thomas Meadows,K,Goochland,VA,5'11'',170,4,73.0,Purdue,58,,,2012,Purdue,,
Danny Anthrop,ATH,Lafayette,IN,6'0'',180,4,73.0,Purdue,172,,,2012,Purdue,,
Anthony Brown,S,Tampa,FL,5'11'',185,4,72.0,Purdue,72,,,2012,Purdue,,
Jimmy Herman,OLB,Carmel,IN,6'3'',205,4,72.0,Purdue,135,,,2012,Purdue,,
B.J. Knauf,RB,Lakeland,FL,5'10'',172,4,72.0,Purdue,162,,,2012,Purdue,,
Cameron Posey,WR,Delray Beach,FL,6'2'',175,3,68.0,Purdue,252,,,2012,Purdue,,
Devin Smith,OT,Yuma,AZ,6'5'',290,NR,,,, None, None,2012,Purdue,,
Greg Latta,DE,Palm Springs,CA,6'5'',275,NR,,,,,,2012,Purdue,,
Elijah Sindelar,QB-PP,Princeton,KY,6'4'',200,80,Purdue,,20,,,2015,Purdue,204,3
Wyatt Cook,ILB,Owings Mills,MD,6'2'',220,,78,Purdue,17,,,2015,Purdue,68,17
Markus Bailey,OLB,Hilliard,OH,6'1'',215,,78,Purdue,37,,,2015,Purdue,,
Andy Chelf,S,Southlake,TX,6'0'',185,,77,Purdue,143,,,2015,Purdue,,
Tario Fuller,RB,Sugar Hill,GA,6'0'',180,,77,Purdue,78,,,2015,Purdue,380,89
Richard Worship,RB,Parma Heights,OH,6'0'',240,,77,Purdue,81,,,2015,Purdue,68,30
Evyn Cooper,ATH,Buford,GA,6'1'',180,,76,Purdue,102,,,2015,Purdue,,
Larry Wells,OT,Kenton,OH,6'7'',310,,76,Purdue,94,,,2015,Purdue,81,34
Matt McCann,OT,Indianapolis,IN,6'6'',290,,75,Purdue,112,,,2015,Purdue,,
Michael Little,CB,Sherman Oaks,CA,5'11'',160,,75,Purdue,,,,2015,Purdue,,
David Rose,ATH,Oxon Hill,MD,6'0'',175,,75,Purdue,119,,,2015,Purdue,,
Markell Jones,RB,Columbus,IN,5'10'',205,,75,Purdue,115,,,2015,Purdue,,
Joe Schopper,K,Indianapolis,IN,6'0'',188,,74,Purdue,,,,2015,Purdue,,
Sawyer Dawson,OLB,Plant City,FL,6'1'',200,,74,Purdue,105,,,2015,Purdue,,
Eddy Wilson II,DT,West Bloomfield,MI,6'3'',260,,74,Purdude,95,,,2015,Purdue,153,20
Tim Faison,OLB,Tallahassee,FL,6'1'',205,,73,Purdue,112,,,2015,Purdue,617,219
Chazmyn Turner,DE,Mooresville,NC,6'4'',235,,73,Purdue,,,,2015,Purdue,,
Brycen Hopkins,TE-Y,Nashville,TN,6'5'',240,,73,Purdue,6,,,2015,Purdue,,
Peyton Truitt,OG,West Lafayette,IN,6'4'',278,,72,Purdue,128,,,2015,Purdue,,
Shayne Henley,DE (JC),Westlake Village,CA,6'4'',250,,70,Purdue,21,,,2015,Purdue,,
Jess Trussell,TE-Y,Arlington,TX,6'5'',220,,70,Purdue,36,,,2015,Purdue,351,276
Ben Makowski,LS,Mishawaka,IN,6'2'',255,,68,Purdue,5,,,2015,Purdue,,
Fred Brown,DT,Boutte,LA,6'1'',254,NR,Purdue,,,,,2015,Purdue,,
Michael Mendez,OT,Los Fresnos,TX,6'4'',286,NR,Purdue,,,,,2015,Purdue,,
Dominique Young,WR (JC),Norwalk,CA,6'3'',200,NR,Purdue,,,,,2015,Purdue,,
Kamal Hardy,CB,Fort Lauderdale,FL,6'0'',185,79.0,Monroe College,,8, None, None,2016,Purdue,,
Javonte Ferguson,WR,Jacksonville,FL,5'7'',160,79.0,Ed H. White High School,,92,258,92,2016,Purdue,,
Jack Wegher,RB,Bradenton,FL,5'10'',190,76.0,IMG Academy,,,68,127,2016,Purdue,,
Benaiah Franklin,ATH,Marietta,GA,6'0'',200,76.0,Wheeler High School,,389,,,2016,Purdue,,
Austin Larkin,DE,San Ramon,CA,6'3'',250,76.0,City College of San Francisco,,14,,,2016,Purdue,,
J.D. Dellinger,K,Charlotte,NC,6'1'',170,75.0,Charlotte Country Day School,,15,,,2016,Purdue,,
Lorenzo Neal,DT,Houston,TX,6'2'',328,75.0,Saint Thomas High School,,65,170,134,2016,Purdue,,
Simeon Smiley,S,Pensacola,FL,6'0'',195,74.0,Pensacola Catholic High School,,75,,,2016,Purdue,,
Navon Mosley,S,West Bloomfield,MI,6'0'',180,74.0,West Bloomfield High School,,78,125,23,2016,Purdue,,
Brandon Shuman,CB,Miami,FL,5'11'',157,74.0,Gulliver Prep High School,,, None, None,2016,Purdue,,
Anthony Watts,DT,Houston,TX,6'4'',290,73.0,Yates Center High School,,86,226,173,2016,Purdue,,
Jalen Neal,OT,Tempe,AZ,6'6'',300,72.0,Scottsdale Community College,,17,,,2016,Purdue,,
Jackson Anthrop,ATH,Lafayette,IN,5'10'',180,72.0,Central Catholic High School,,, None, None,2016,Purdue,,
Josh Hayes,CB,Indianapolis,IN,5'11'',175,72.0,Pike High School,,102,179,20,2016,Purdue,,
Alex Criddle,OG,Tulsa,OK,6'3'',315,71.0,Edison Preparatory School,,102,266,20,2016,Purdue,,
Terrance Landers,WR,Dayton,OH,6'2'',195,70.0,Dunbar High School,,208,,,2016,Purdue,,
Jared Sparks,QB-DT,Geismar,LA,6'0'',200,68.0,Dutchtown High School,,58,,,2016,Purdue,,
Grant Hermanns,OT,Rio Rancho,NM,6'6'',251,68.0,Rio Rancho High School,,, None, None,2016,Purdue,,
Tanner Hawthorne,OT,Peoria,AZ,6'5'',265,,Centennial High School,,,,,2016,Purdue,,
Brian Lankford-Johnson,RB,Melbourne,FL,6'0'',190,,Palm Bay Magnet High School,,,,,2016,Purdue,,
Rob Simmons,DE,Wayne,PA,6'5'',215,,Valley Forge Military Academy and College,,,,,2016,Purdue,,
Semisi Fakasiieiki,ILB,Compton,CA,6'2'',230,,Dominguez High School,,, None, None,2016,Purdue,,
C.J. Parker,S,Menifee,CA,6'1'',205,,Mt. San Jacinto College,,, NR, NR,2016,Purdue,,
QB-PP,Montvale,NJ,6'3'',196.0,84.0,,Purdue,,,,,2020,Purdue,,
RB,Middle Island,NY,5'11'',200.0,84.0,,Purdue,,,,,2020,Purdue,,
TE-H,Oak Park,MI,6'4'',230.0,80.0,,Purdue,,,,,2020,Purdue,,
WR,Walled Lake,MI,6'1'',185.0,80.0,,Purdue,,,,,2020,Purdue,,
DT,Southfield,MI,6'2'',265.0,79.0,,Purdue,,,,,2020,Purdue,,
OT,Zionsville,IN,6'4'',285.0,79.0,,Purdue,,,,,2020,Purdue,,
S,Franklin,TN,6'2'',180.0,79.0,,Purdue,,,,,2020,Purdue,,
WR,Round Rock,TX,6'1'',180.0,78.0,,Purdue,,,,,2020,Purdue,,
CB (JC),Missouri City,TX,5'11'',185.0,78.0,,Purdue,,,,,2020,Purdue,,
DE,Washington,DC,6'4'',230.0,77.0,,Purdue,,,,,2020,Purdue,,
ILB,Waukesha,WI,6'3'',220.0,76.0,,Purdue,,,,,2020,Purdue,,
OG,Middleburg Heights,OH,6'3'',285.0,75.0,,Purdue,,,,,2020,Purdue,,
OC,Harmony,PA,6'4'',280.0,75.0,,Purdue,,,,,2020,Purdue,,
S,Blairstown,NJ,6'0'',176.0,75.0,,Purdue,,,,,2020,Purdue,,
ILB,Louisville,GA,6'2'',230.0,74.0,,Purdue,,,,,2020,Purdue,,
RB,Plainfield,IL,5'8'',170.0,74.0,,Purdue,,,,,2020,Purdue,,
ATH,Southfield,MI,5'11'',164.0,74.0,,Purdue,,,,,2020,Purdue,,
OLB,Medford,NJ,6'3'',210.0,74.0,,Purdue,,,,,2020,Purdue,,
ILB (JC),Summit,MS,6'2'',220.0,73.0,,Purdue,,,,,2020,Purdue,,
S,Angola,IN,6'1'',200.0,73.0,,Purdue,,,,,2020,Purdue,,
,,,,,,,,,46th, NR, NR,2020,Purdue,,
,,,,,,,,,,,,2020,Purdue,,
,,,,,,,,,119,183,20,2020,Purdue,,
,,,,,,,,,,,,2020,Purdue,,
,,,,,,,,,, None, None,2020,Purdue,,
Tarrion Grant,CB,Murfreesboro,TN,6'3'',180,,83,Purdue,,,,2024,Purdue,,
Koy Beasley,SC,Cincinnati,OH,5'11'',175,,83,Purdue,9,,,2024,Purdue,,
Tayvion Galloway,TE,Pickerington,OH,6'5'',230,,81,Purdue,4,,,2024,Purdue,,
Jaheim Merriweather,ATH,Gallatin,TN,6'3'',185,,79,Purdue,36,,,2024,Purdue,,
Luke Williams,ATH,Naperville,IL,6'1'',175,,79,Purdue,39,,,2024,Purdue,54,10
Marcos Davila,QB,Midland,TX,6'3'',215,,79,Purdue,24,,,2024,Purdue,107,84
Tra'Mar Harris,ATH,Cincinnati,OH,6'2'',190,,78,Purdue,58,,,2024,Purdue,,
Earl Kulp,CB,Fort Lauderdale,FL,6'0'',170,,78,Purdue,305,,,2024,Purdue,,
Jamari Payne,DE,Loachapoka,AL,6'3'',250,,78,Purdue,6,,,2024,Purdue,,
Leland Smith,WR,Houston,TX,6'4'',205,,78,Purdue,80,,,2024,Purdue,101,21
D'Mon Marable,S,Clinton,TN,6'1'',190,,77,Purdue,95,,,2024,Purdue,,
LeonTre Bradford,SE,East Saint Louis,IL,5'10'',185,,77,Purdue,94,,,2024,Purdue,207,162
Hudauri Hines,CB,Indianapolis,IN,6'2'',190,,77,Purdue,63,,,2024,Purdue,,
Caleb Mitchell-Irving,DE,Dallas,TX,6'2'',265,,77,Purdue,123,,,2024,Purdue,,
Demeco Kennedy,DT,Lexington,KY,6'3'',260,,77,Purdue,135,,,2024,Purdue,,
Ty Hudkins,S,Grand Rapids,MI,6'0'',185,,76,Purdue,137,,,2024,Purdue,,
Donovan Hamilton,WR,Fishers,IN,6'3'',190,,76,Purdue,141,,,2024,Purdue,,
Jesse Watson,WR,East Saint Louis,IL,5'9'',160,,76,Purdue,146,,,2024,Purdue,,
Shamar Rigby,WR,Saint Petersburg,FL,6'4'',175,,76,Purdue,125,,,2024,Purdue,,
Jaden Ball,OG,Carroll,OH,6'4'',280,,76,Purdue,96,,,2024,Purdue,,
Max Parrott,OT,Englewood,CO,6'4'',275,,76,Purdue,106,,,2024,Purdue,,
Jordan King,OG,Fort Wayne,IN,6'5'',310,,75,Purdue,2,,,2024,Purdue,,
John Randle Jr.,OG,Horn Lake,MS,6'4'',270,,74,Purdude,13,,,2024,Purdue,,
Rod Green,OG,Springfield,OH,6'4'',305,,74,Purdue,11,,,2024,Purdue,,
Spencer Porath,K,Brownsburg,IN,5'11'',185,,74,Purdue,180,,,2024,Purdue,794,56
Jaekwon Bouldin,OT,Canton,MS,6'6'',350,,73,Purdue,,,,2024,Purdue,,
D.J. Allen,DE,Germantown,TN,6'3'',220,,73,Purdude,,,,2024,Purdue,,
Joey Tanona,OG,Zionsville,IN,6'5'',284,,TR,Purdue,,,,2024,Purdue,,
D.J. Wingfield,OT,Los Angeles,CA,6'4'',289,,TR,Purdue,,,,2024,Purdue,,
Jamarius Dinkins,DT,Columbus,OH,6'5'',280,,TR,Purdue,,,,2024,Purdue,,
Nyland Green,CB,Covington,GA,6'1'',185,,TR,Purdue,,,,2024,Purdue,,
Shitta Sillah,OLB,New Monmouth,NJ,6'4'',253,,TR,Purdue,,,,2024,Purdue,,
C.J. Madden,DE,Stone Mountain,GA,6'4'',230,,TR,Purdude,,,,2024,Purdue,,
Reggie Love,RB,Saint Louis,MO,5'11'',205,,TR,Purdude,,,,2024,Purdue,,
Kam Brown,WR,Colleyville,TX,6'1'',190,,TR,Purdue,,,,2024,Purdue,,
Corey Stewart,OT,Nashville,TN,6'6'',303,,TR,Purdue,,,,2024,Purdue,,
Joshua Sales,OT,Brownsburg,IN,6'6'',305,,TR,Purdue,,,,2024,Purdue,,
C.J. Smith,WR,Apoka,FL,6'3'',190,,TR,Purdue,,,,2024,Purdue,,
Kyndrich Breedlove,CB,Nashville,TN,5'11'',180,,TR,Purdude,,,,2024,Purdue,,
De'Nylon Morrisette,WR,Suwanee,GA,6'1'',200,,TR,Purdue,,,,2024,Purdue,,
Jireh Ojata,DE,Carmel,IN,6'4'',260,,TR,Purdue,,,,2024,Purdue,,
Sterling Smith,S,Indianapolis,IN,6'1'',200,,TR,Purdude,,,,2024,Purdue,,
R.J. Lopez,K,Mission Viejo,CA,6'0'',180,,TR,Purdue,,,,2024,Purdue,,
