Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Nick Nelson,WR,Forestville,MD,5'10'',180,Hawai'i,,,,,2014,Hawaii,71.0, None, None,
Daniel Lewis Jr.,CB,New Iberia,LA,5'11'',194,Hawai'i,,,,,2014,Hawaii,,,,
Manly Williams,S,Honolulu,HI,6'2'',194,Hawai'i,,,,,2014,Hawaii,, None, None,
Aaron Glover,OLB,Virginia Beach,VA,5'11'',203,Hawai'i,,,,,2014,Hawaii,,,,
Dakota Torres,ILB,Honolulu,HI,6'1'',230,Hawai'i,,,,,2014,Hawaii,, None, None,
Donald Lambert,WR,Honolulu,HI,6'1'',170,Hawai'i,,,,,2014,Hawaii,,,,
Dayton Furuta,ATH,Mililani,HI,5'9'',191,Hawai'i,,,,,2014,Hawaii,,,,
Marquis Fairchild,DE,Oakland Park,FL,6'2'',212,Hawai'i,,,,,2014,Hawaii,, None, None,
Jahlani Tavai,OLB,Manhattan Beach,CA,6'3'',220,Hawai'i,,,,,2014,Hawaii,,,,
Jerrell Jackson,S,Haynesville,LA,6'0'',175,Hawai'i,,,,,2014,Hawaii,, None, None,
Mack Richards,WR,Sandy,UT,6'1'',190,Hawai'i,,,,,2014,Hawaii,,,,
Dany Mulanga,OLB,Euless,TX,6'3'',200,Hawai'i,,,,,2014,Hawaii,, None, None,
Sammy Lauaki,OG,Los Angeles,CA,6'4'',250,Hawai'i,,,,,2014,Hawaii,,,,
Ka'au Gifford,DT,Honolulu,HI,6'3'',250,Hawai'i,,,,,2014,Hawaii,, None, None,
Tavita Eli,OT,Kailua-Kona,HI,6'4'',290,Hawai'i,,,,,2014,Hawaii,,,,
Tui Unga,OLB (LQ),Rancho Cucamonga,CA,6'3'',220,Hawai'i,,,,,2014,Hawaii,, None, None,
Darrian Josey,WR,Boynton Beach,FL,5'11'',160,Hawai'i,,,,,2014,Hawaii,,,,
Malachi Mageo,ILB,Gardena,CA,6'3'',211,Hawai'i,,,,,2014,Hawaii,, None, None,
Cesar Fermin,CB (JC),Moorpark,CA,5'11'',180,Hawai'i,,,,,2014,Hawaii,, None, None,
Luke Shawley,DE (JC),San Diego,CA,6'3'',240,Hawai'i,,,,,2014,Hawaii,, None, None,
Simon Poti,OLB (JC),Fullerton,CA,6'1'',220,Hawai'i,,NR,,,2014,Hawaii,, NR, NR,
Jalen Rogers,CB (JC),Tucson,AZ,6'0'',185,Hawai'i,,,,,2014,Hawaii,,,,
Jeremy Castro,OLB (TR),Murrieta,CA,6'3'',240,Hawai'i,,,,,2014,Hawaii,, None, None,
Quinton Pedroza,WR (TR),Chino,CA,6'2'',220,Hawai'i,,,,,2014,Hawaii,,,,
Solomon Matautia,WR,Ewa Beach,HI,6'1'',215,Hawai'i,,67,170,7,2015,Hawaii,76,,,
Dylan Collie,WR,El Dorado Hills,CA,5'11'',185,Brigham Young University,,, None, None,2015,Hawaii,70,,,
J.R. Hensley,OG,Edmond,OK,6'5'',265,Hawai'i,,,,,2015,Hawaii,NR,,,
Cameron Hayes,ATH,Gardena,CA,5'11'',180,Hawai'i,,,,,2015,Hawaii,NR,,,
Jordan Agasiva,OT,Mililani,HI,6'4'',303,Hawai'i,,,,,2015,Hawaii,NR,,,
Eperone Moananu,OG,Pago Pago,AS,6'2'',290,Hawai'i,,,,,2015,Hawaii,NR,,,
Kainoa Wilson,WR,Mililani,HI,5'11'',161,Hawai'i,,,,,2015,Hawaii,NR,,,
Kamuela Borden,OG,Honolulu,HI,6'3'',235,Hawai'i,,NR,NR,NR,2015,Hawaii,NR,,,
Sione Kauhi,DE,Wilsonville,OR,6'5'',250,Hawai'i,,,,,2015,Hawaii,NR,,,
Alex Trifonovitch,K,Honolulu,HI,6'1'',180,Hawai'i,,,,,2015,Hawaii,NR,,,
Austin Webb,OT,Dallas,TX,6'8'',310,Hawai'i,,NR,,,2015,Hawaii,NR,,,
Dejaun Butler,CB,Santa Monica,CA,5'11'',190,Hawai'i,,NR,NR,NR,2015,Hawaii,NR,,,
Russell Williams Jr.,OLB,Elk Grove,CA,6'1'',220,Hawai'i,,,,,2015,Hawaii,NR,,,
Tolu Fieeiki,DE,Orange,CA,6'5'',250,Hawai'i,,,,,2015,Hawaii,NR,,,
Melvin Davis,RB,Santa Monica,CA,6'1'',230,Hawai'i,,,,,2015,Hawaii,NR,,,
Matt Norman,OT,Fullerton,CA,6'5'',275,Hawai'i,,,,,2015,Hawaii,NR,,,
Paul Harris,ATH,Ventura,CA,5'11'',190,Hawai'i,,,,,2015,Hawaii,NR,,,
Makani Kema-Kaleiwahea,OLB,Ewa Beach,HI,6'3'',240,University of Arizona,,,,,2015,Hawaii,,,,
Max Wittek,QB-PP,Newport Beach,CA,6'4'',240,University of Southern California,,,,,2015,Hawaii,,,,
Freddie Holly,RB,Riverside,CA,5'11'',203,76,,118,73,81,2016,Hawaii,,,,Norte Vista High School
Kala Timoteo,WR,Mililani,HI,6'3'',197,68,,222,264,11,2016,Hawaii,,,,Mililani High School
Ikem Okeke,OL,Las Vegas,NV,6'0'',208,68,,120,,,2016,Hawaii,,,,Bishop Gorman High School
Jeremiah Pritchard,OL,Honolulu,HI,6'0'',197,NR,,,,,2016,Hawaii,,,,Farrington High School
Mykal Tolliver,CB,Bellflower,CA,5'11'',180,NR,,,,,2016,Hawaii,,,,St. John Bosco High School
Cole McDonald,QB-PPLa,La Habra,CA,6'3'',190,NR,,,,,2016,Hawaii,,,,Sonora High School
Eugene Ford,WR,Los Angeles,CA,6'1'',175,NR,,,,,2016,Hawaii,,,,University High School
Netane Muti,OG,Wahiawa,HI,6'3'',263,NR,,,,,2016,Hawaii,,,,Leilehua High School
Joshua Hauani'o,OC,Honolulu,HI,6'4'',306,NR,,,,,2016,Hawaii,,,,Iolani School
King James Taylor,OG,Harbor City,CA,6'3'',266,NR,,,,,2016,Hawaii,,,,Narbonne High School
Kalepo Naotala,DT,Newport News,VA,6'1'',275,NR,,,,,2016,Hawaii,,,,Menchville High School
Trey Hoskins,San Ramon,CA,6'3'',165,NR,Dougherty Valley High School,,,,,2016,Hawaii,,,,
Davine Tullis,QB-DT,Seattle,WA,6'2'',193,NR,,,,,2016,Hawaii,,,,Ballard High School
Keala Santiago,S,Kahuku,HI,5'11'',183,NR,,,,,2016,Hawaii,,,,Kahuku High School
Zach Wilson,CB (LQ),Upland,CA,6'0'',175,NR,,NR,,,2016,Hawaii,,,,Upland High School
Viane Moala,OT,Pago Pago,AS,6'6'',270,NR,,NR,,,2016,Hawaii,,,,Fa'asao Marist High School
Max Hendrie,ATH,Sydney,AUST,6'4'',235,NR,,,,,2016,Hawaii,,,,The Scots College
