Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Trevor Bateman,CB,Indio,CA,5'10'',170,74.0,BYU,,NR,,,2009,Brigham Young, NR, None
Adam Timo,ATH,Saint George,UT,6'1'',190,74.0,BYU,,146,,,2009,Brigham Young,,
Malosi Te'o,RB,Kahuku,HI,5'11'',195,73.0,BYU,,69,,,2009,Brigham Young, NR, NR
Brett Thompson,WR,El Dorado Hills,CA,6'2'',200,69.0,BYU,,,,,2009,Brigham Young, None, None
Peni Maka'afi,FB,Layton,UT,5'11'',215,69.0,BYU,,123,,,2009,Brigham Young, None, None
Ryan Mulitalo,OG,West Valley City,UT,6'3'',310,67.0,BYU,,,,,2009,Brigham Young,,
Thomas Bryson,TE,Layton,UT,6'5'',215,66.0,BYU,,,,,2009,Brigham Young,,
Jray Galea'i,OLB,Kahuku,HI,6'0'',180,,BYU,,NR,,,2009,Brigham Young,,
Anthony Heimuli,RB,Orem,UT,5'11'',225,,BYU,,NR,,,2009,Brigham Young,,
Fono Vakalahi,OG,Bryan,TX,6'4'',320,,BYU,,,,,2009,Brigham Young, None, None
Cody Hoffman,WR,Crescent City,CA,6'4'',200,,BYU,,,,,2009,Brigham Young, None, None
Adam Hine,RB,Santa Clara,UT,6'1'',175,,BYU,,,,,2009,Brigham Young,,
Riley Nelson,QB,Logan,UT,6'1'',195,,BYU,,,,,2009,Brigham Young, NR, NR
Jordan Atkinson,ILB,Pleasant Hill,CA,6'3'',235,,BYU,,,,,2009,Brigham Young,,
Lee Aguirre,CB,Fullerton,CA,5'11'',200,,BYU,,,,,2009,Brigham Young,,
Brian Logan,CB,Fremont,CA,5'9'',180,,BYU,,,,,2009,Brigham Young,,
Jake Heaps,QB,Sammamish,WA,6'2'',198,80.0,BYU,,7,,,2010,Brigham Young,24,NR
Bronson Kaufusi,DE,Provo,UT,6'8'',240,80.0,BYU,,20,,,2010,Brigham Young,28, None
Ross Apo,WR,Arlington,TX,6'3'',192,79.0,BYU,,37,,,2010,Brigham Young,,
Zac Stout,OLB,Westlake Village,CA,6'1'',220,78.0,BYU,,30,,,2010,Brigham Young,58,39
Kyle Van Noy,ATH,Reno,NV,6'4'',200,78.0,BYU,,,,,2010,Brigham Young, None, None
A.J. Moore,RB,Murrieta,CA,5'9'',195,78.0,BYU,,37,,,2010,Brigham Young,,
Toloa'i Ho Ching,ILB,Sandy,UT,6'0'',220,77.0,BYU,,104,,,2010,Brigham Young,,
Joshua Quezada,RB,La Habra,CA,5'11'',203,77.0,BYU,,113,,,2010,Brigham Young,67, None
Jordan Afo,DT,Salt Lake City,UT,6'3'',290,77.0,BYU,,,,,2010,Brigham Young, None, None
Jordan Black,OT,Sandy,UT,6'7'',235,77.0,BYU,,,,,2010,Brigham Young,,
Drew Phillips,RB,Boaz,AL,5'11'',165,76.0,BYU,,33,,,2010,Brigham Young,,
Collin Keoshian,ILB,Santa Clarita,CA,6'2'',225,76.0,BYU,,,,,2010,Brigham Young,,
Joey Owens,OLB,Pleasant Grove,UT,6'2'',215,75.0,BYU,,63,,,2010,Brigham Young,176, NR
Tuni Kanuch,OG,South Jordan,UT,6'2'',285,75.0,BYU,,15,,,2010,Brigham Young,,
Blair Tushaus,OC,Scottsdale,AZ,6'2'',267,75.0,BYU,,,,,2010,Brigham Young,,
