Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Josh Harper,WR,Stockton,CA,6'1'',177,77,Fresno State,100,,,2010,Fresno State,,,,
Lester Fontenette,ATH,Claremont,CA,6'2'',195,77,Fresno State,95,,,2010,Fresno State,,,,
E.J. Schexnayder,RB,Riverside,CA,6'0'',205,75,Fresno State,118,,,2010,Fresno State,,,,
Leslie Rogers,ATH,San Diego,CA,6'1'',180,75,Fresno State,144,,,2010,Fresno State,,198,137,
Marcus McDade,QB,Stockton,CA,6'2'',187,75,Fresno State,,,,2010,Fresno State,, None, None ,
Isaiah Burse,ATH,Modesto,CA,5'11'',176,74,Fresno State,,,,2010,Fresno State,, None, None,
Edward Dillihunt,Tulare,CA,5'11'',195,74,Fresno State,,112,,,2010,Fresno State,,231,154,
Greg Watson,ATH,Rancho Cucamonga,CA,5'11'',180,74,Fresno State,172,,,2010,Fresno State,,243,161,
Derron Smith,ATH,Banning,CA,5'11'',164,74,Fresno State,177,,,2010,Fresno State,,250,164,
Ofa Fifita,OLB,San Bernardino,CA,5'11'',199,73,Fresno State,,,,2010,Fresno State,, None, None,
Jalen Saunders,WR,Elk Grove,CA,5'9'',141,,Fresno State,,,,2010,Fresno State,,,,
Sean Alston,WR,Rancho Cucamonga,CA,5'10'',175,,Fresno State,NR,,,2010,Fresno State,,,,
Tyeler Davison,OG,Scottsdale,AZ,6'1'',280,,Fresno State,,,,2010,Fresno State,,,,
Victor Dean,WR,San Diego,CA,6'5'',190,,Fresno State,,,,2010,Fresno State,,,,
Andrew Gustafson,OT,Scottsdale,AZ,6'6'',270,,Fresno State,NR,,,2010,Fresno State,,,,
Anthony Riggins,CB,Fairfield,CA,5'11'',185,,Fresno State,,,,2010,Fresno State,, None, None,
John Oglesby,OLB,Bakersfield,CA,6'1'',220,,Fresno State,,,,2010,Fresno State,,,,
Cody Wichmann,OT,Mariposa,CA,6'4'',275,,Fresno State,,,,2010,Fresno State,, None, None,
John Ogelsby,DE,Bakersfield,CA,6'4'',212,,Fresno State,,,,2010,Fresno State,, NR, None,
Kelly O'brien,QB,Los Altos,CA,6'2'',210,,Fresno State,,,,2010,Fresno State,,,,
Zack Greenlee,QB-PP,Stockton,CA,6'2'',187.0,83.0,Fresno State,,,,2013,Fresno State,3.0, None, None,
Claudell Louis,DT,Visalia,CA,6'5'',270.0,76.0,Fresno State,21,,,2013,Fresno State,3.0, NR, NR,
Rodney Mathews,S,Glendora,CA,6'0'',195.0,76.0,Fresno State,,,,2013,Fresno State,3.0,8, None,
Delvon Hardaway,WR,Los Angeles,CA,6'1'',168.0,76.0,Fresno State,,,,2013,Fresno State,3.0, None, None,
Josh Tremblay,OT,Sacramento,CA,6'4'',280.0,74.0,Fresno State,12,,,2013,Fresno State,3.0, NR, NR,
Ryan Steele,DT,Kingsburg,CA,6'0'',287.0,74.0,Fresno State,195,,,2013,Fresno State,3.0,83,131,
Colin McGuire,K,Austin,TX,5'11'',170.0,74.0,Fresno State,25,,,2013,Fresno State,3.0,,,
Jaylen Ruiz,DT,Fresno,CA,6'3'',274.0,73.0,Fresno State,,,,2013,Fresno State,3.0, None, None,
Dontel James,ATH,Fontana,CA,6'0'',205.0,73.0,Fresno State,145,,,2013,Fresno State,3.0,223,150,
Stephen Van Hook,OLB,Perris,CA,6'1'',212.0,73.0,Fresno State,119,,,2013,Fresno State,3.0,225,152,
Justin Holmes,S,Fresno,CA,6'2'',163.0,68.0,Fresno State,103,,,2013,Fresno State,3.0,,,
Da'Mari Scott,WR,Los Angeles,CA,6'0'',197.0,67.0,Fresno State,,,,2013,Fresno State,3.0,,,
Darrell Fuery,WR,Gardena,CA,,,,Fresno State,NR,,,2013,Fresno State,,,,
Robert Stanley,OLB,Las Vegas,NV,6'2'',205.0,,Fresno State,,,,2013,Fresno State,,,,
Treshon Broughton,CB,Murrieta,CA,5'11'',158.0,,Fresno State,,,,2013,Fresno State,,,,
David Patterson,OT,Irvine,CA,6'4'',276.0,,Fresno State,,,,2013,Fresno State,, NR, None,
Jeff Camilli,ILB,Shingle Springs,CA,6'3'',254.0,,Fresno State,,,,2013,Fresno State,, None, None,
Randon Knotts,WR,Austin,TX,6'0'',180.0,,Fresno State,,,,2013,Fresno State,, None, None,
Nathan Madsen,DE,Eureka,CA,6'4'',262.0,,Fresno State,,,,2013,Fresno State,, None, None,
Elijah Cox,OT,Glendale,AZ,6'4'',285.0,,Fresno State,,,,2013,Fresno State,, NR, NR,
Sean Rubalcava,OT,Norwalk,CA,6'4'',290.0,,Fresno State,,,,2013,Fresno State,,,,
Ioane Sagapolu,DT,Fresno,CA,6'1'',295.0,,Fresno State,,,,2013,Fresno State,, None, None,
Devonn Brown,WR,Riverside,CA,5'9'',170.0,,Fresno State,NR,,,2013,Fresno State,,,,
Tray Hall,CB,Riverside,CA,5'10'',175.0,,Fresno State,,,,2013,Fresno State,,,,
