Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Tyler Houk,DEJCGalax,VA,6'4'',250,,,Nevada,,NR,,,2011,Nevada,,
Eric Stewart,TEJCLos Angeles,CA,6'3'',235,,,Nevada,,NR,,,2011,Nevada,,
Devin Combs,QBJCOakdale,CA,6'2'',235,,,Nevada,,NR,,,2011,Nevada,,
Alec Moreno,ILB,Poway,CA,6'2'',225.0,79.0,Nevada,,28,75,55,2013,Nevada,,
Julian Brooks,S,Chatsworth,CA,6'2'',210.0,78.0,Nevada,,,,,2013,Nevada,,
Ian Seau,OLB,Carlsbad,CA,6'3'',240.0,77.0,Nevada,,,,,2013,Nevada,,
Tere' Calloway,ATH,Seattle,WA,5'11'',185.0,77.0,Nevada,,NR, NR, NR,2013,Nevada,,
Braxton Isaac,OT,Los Osos,CA,6'5'',285.0,74.0,Nevada,,,,,2013,Nevada,,
Don Jackson,RB,Sacramento,CA,5'10'',210.0,72.0,Nevada,,NR,,,2013,Nevada,,
Frank Schnicker,WR,Mission Viejo,CA,5'10'',156.0,,Nevada,,,,,2013,Nevada,,
Ziad Damanhoury,DT,La Jolla,CA,6'6'',288.0,,Nevada,,,,,2013,Nevada,,
Dante Mayes,QB-DT,Oakley,CA,6'1'',180.0,,Nevada,,NR, NR, NR,2013,Nevada,,
Chad Specht,OT,Fresno,CA,6'5'',260.0,,Nevada,,, None, None,2013,Nevada,,
Joseph Anglemire,OT,Mililani,HI,6'3'',261.0,,Nevada,,NR,,,2013,Nevada,,
Kaodi Dike,WR,Stockton,CA,6'2'',194.0,,Nevada,,, None, None,2013,Nevada,,
Travis Wilson,WR,Cedar Hill,TX,6'1'',180.0,,Nevada,,, None, None,2013,Nevada,,
Beau Hershberger,OLB,Granite Bay,CA,6'2'',209.0,,Nevada,,,,,2013,Nevada,,
Elijah Mitchell,CB,Corona,CA,5'8'',159.0,,Nevada,,NR,,,2013,Nevada,,
Kevin Sundberg,DT,Fowler,CA,6'2'',280.0,,Nevada,,,,,2013,Nevada,,
Patrick Clifford,DE,Temecula,CA,6'2'',235.0,,Nevada,,,,,2013,Nevada,,
D'Andre Fuller,ATH,Arlington,TX,5'10'',160.0,,Nevada,,,,,2013,Nevada,,
Matthew Lyons,OLB,Los Angeles,CA,6'2'',230.0,,Nevada,,, None, None,2013,Nevada,,
Dupree Roberts-Jordan,DT,Lakewood,CA,6'2'',260.0,,Nevada,,, None, None,2013,Nevada,,
Faigofie Faaituala,ILB,Carson,CA,6'1'',223.0,,Nevada,,,,,2013,Nevada,,
Darren Denucci,OG,Ephraim,UT,6'3'',300.0,,Nevada,,,,,2013,Nevada,,
Korey Rush,DE,Salt Lake City,UT,6'2'',240.0,,77.0,Nevada,63,98,9,2014,Nevada,,
Patrick Choudja,DE,Oakley,CA,6'3'',218.0,,76.0,Nevada,, None, None,2014,Nevada,,
Andrew Celis,WR,Kentfield,CA,5'11'',167.0,,75.0,Nevada,143,148,95,2014,Nevada,,
Hunter Fralick,QB-PP,Sparks,NV,6'1'',194.0,,74.0,Nevada,56,202,7,2014,Nevada,,
James Butler,RB,Wheaton,IL,5'9'',204.0,,71.0,Nevada,237,157,52,2014,Nevada,,
Kelton Moore,QB-PP,Arlington,TX,5'11'',190.0,,,Nevada,,,,2014,Nevada,,
Kendall Johnson,ATH,Lafayette,LA,5'11'',175.0,,,Nevada,, None, None,2014,Nevada,,
Malik Reed,DE,Dothan,AL,6'1'',220.0,,,Nevada,,,,2014,Nevada,,
Wyatt Demps,WR,Elk Grove,CA,6'3'',176.0,,,Nevada,,,,2014,Nevada,,
Cliff Porter,DE,Reno,NV,6'5'',250.0,,,Nevada,, None, None,2014,Nevada,,
Blake Wright,RB,Fresno,CA,5'10'',187.0,,,Nevada,NR,,,2014,Nevada,,
Elijah Moody,CB,Long Beach,CA,5'10'',166.0,,,Nevada,,,,2014,Nevada,,
Brandon Scott,WR,Yucaipa,CA,6'4'',202.0,,,Nevada,, None, None,2014,Nevada,,
Jarid Joseph,OLB,Lakewood,CA,6'2'',202.0,,,Nevada,, None, None,2014,Nevada,,
Ahki Muhammad,CB,Union City,CA,5'9'',175.0,,,Nevada,NR,,,2014,Nevada,,
Cris Solano,QB-DT,San Fernando,CA,6'1'',164.0,,,Nevada,NR, NR, NR,2014,Nevada,,
Jacob Lacaden,OLB,Honolulu,HI,6'0'',190.0,,,Nevada,, None, None,2014,Nevada,,
Victor Gonzalez,WR,Riverside,CA,6'1'',160.0,,,Nevada,, None, None,2014,Nevada,,
Matt Moen,TE-Y,Cibolo,TX,6'3'',230.0,,,Nevada,, None, None,2014,Nevada,,
Kalei Meyer,DT,Honolulu,HI,6'2'',260.0,,,Nevada,,,,2014,Nevada,,
Asauni Rufus,ATH,Bakersfield,CA,6'0'',190.0,,,Nevada,, None, None,2014,Nevada,,
Mat McDermand,OT,Overton,NV,6'5'',260.0,,,Nevada,,,,2014,Nevada,,
Jordan Silva,TE-Y,Murrieta,CA,6'4'',240.0,,,Nevada,,,,2014,Nevada,,
Daren Echeveria,OT (LQ),Lancaster,CA,6'5'',270.0,,,Nevada,, None, None,2014,Nevada,,
Chad Specht,OT (LQ),Fresno,CA,6'5'',285.0,,,Nevada,,,,2014,Nevada,,
Duran Workman,S (JC),Charleston,WV,5'11'',200.0,,,Nevada,NR, NR, NR,2014,Nevada,,
Humberto Lopez,OT (JC),Desert Hot Springs,CA,6'6'',295.0,,,Nevada,NR, NR, NR,2014,Nevada,,
Michael Spivey,ILB (JC),San Ramon,CA,6'0'',235.0,,,Nevada,NR, NR, NR,2014,Nevada,,
Jeremy Miller,DT (JC),Tyler,TX,5'11'',290.0,,,Nevada,NR, NR, NR,2014,Nevada,,
Dameon Baber,ATH,Palmdale,CA,5'10'',180.0,77.0,Nevada,,125,86, None,2015,Nevada,,
Kori Collons,DE,Carmichael,CA,6'6'',198.0,75.0,Nevada,,94,196,128,2015,Nevada,,
Ricky Thomas,OLB,Reno,NV,6'1'',210.0,74.0,Nevada,,98,213,6,2015,Nevada,,
Riley Brand,S,Orange,CA,6'1'',211.0,74.0,Nevada,,, None, None,2015,Nevada,,
Baylor Romney,QB-DT,El Paso,TX,6'1'',185.0,73.0,Nevada,,45,254,202,2015,Nevada,,
E.J. Muhammad,CB,DeSoto,TX,6'0'',173.0,71.0,Nevada,,124,326,256,2015,Nevada,,
Abiel Taito,WR,Ewa Beach,HI,6'0'',190.0,69.0,Nevada,,152,,,2015,Nevada,,
Wes Farnsworth,LS,Reno,NV,6'2'',205.0,68.0,Nevada,,6,,,2015,Nevada,,
Gabe Sewell,ILB,Saint George,UT,6'0'',220.0,,Nevada,,,,,2015,Nevada,,
Taylor Powell,ILB,Tucson,AZ,6'0'',221.0,,Nevada,,, None, None,2015,Nevada,,
Hausia Sekona,DE,Salt Lake City,UT,6'1'',255.0,,Nevada,,, None, None,2015,Nevada,,
Brendan Orange,WR,St. Catherines,CAN,6'4'',205.0,,Nevada,,NR, NR, NR,2015,Nevada,,
